Field Identifier,Category,Sub-Category,Field Name,Tooltip,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
35,Basic,"Resource use, circular economy and waste management",Total Weight Materials,"In case you operate manufacturing, construction and/or packaging processes, please provide the share of recycled content in your products and packaging (in per cent based on weight, during the reporting period) For this we require the total weight  (in tons, in the reporting year) of both recycled and overall materials used in products and packaging. 

Moreover, please provide the share of recycable content in your products and packaging (in per cent based on weight, during the reporting period). For this we require the  total weight  (in tons, in the reporting year) of both recycable materials used in products and packaging. ",,Number,,Tonnes,,,,
36,Basic,"Resource use, circular economy and waste management",Weight Recycled Materials,Please disclose the weight of recycled materials in tonnes.,,Number,,Tonnes,,,,
37,Basic,"Resource use, circular economy and waste management",Percentage Recycled Materials,Please disclose percentage of recycled materials in regards to the total weight of maerials. ,,Percentage,,,,,,
38,Basic,"Resource use, circular economy and waste management",Weight Recyclable Materials,Please disclose the weight of recycable materials in tonnes.,,Number,,Tonnes,,,,
39,Basic,"Resource use, circular economy and waste management",Percentage Recyclable Materials,Please disclose percentage of recycable materials in regards to the total weight of maerials. ,,Percentage,,,,,,
40,Basic,"Resource use, circular economy and waste management",Measure Waste,"Please, for each type of waste, provide your total annual generation of it (in tons or m^3) differentiating whether it is non-hazardous or hazardous. Also indicate the share of it diverted to recycling or reuse (in absolute numbers). First choose the unit you want to report in.",,Single-Select Radio Button,Weight (preferred)|Volume,,,,,
41,Basic,"Resource use, circular economy and waste management",Waste Classification,Please disclose the waste classification for every type of waste.,,Waste Classification Component,,,,,,
42,Basic,Workforce - General Characteristics,Measure Employees,You will be asked to provide information related to the number of your employees. How do you want to count them? Please stick to this measure for all the subsequent questions.,,Single-Select Radio Button,Full-Time Equivalents|Head Count,,,,,
43,Basic,Workforce - General Characteristics,Number Of Employees In FTE,What is your number of employees? (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
44,Basic,Workforce - General Characteristics,Number Of Employees In Headcount,What is your number of employees? (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
45,Basic,Workforce - General Characteristics,Number Of Temporary Contract Employees In FTE,Please disclose the number of employees broken down by employment contract. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
46,Basic,Workforce - General Characteristics,Number Of Temporary Contract Employees In Headcount,Please disclose the number of employees broken down by employment contract. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
47,Basic,Workforce - General Characteristics,Number Of Permanent Contract Employees In FTE,Please disclose the number of emplyees with a permanent contract. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
48,Basic,Workforce - General Characteristics,Number Of Permanent Contract Employees In Headcount,Please disclose the number of emplyees with a permanent contract. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
49,Basic,Workforce - General Characteristics,Number Of Male Employees In FTE,Please disclose the number of employees broken down by gender. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
50,Basic,Workforce - General Characteristics,Number Of Male Employees In Headcount,Please disclose the number of employees broken down by gender. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
51,Basic,Workforce - General Characteristics,Number Female Employees In FTE,Please disclose the number of female employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
52,Basic,Workforce - General Characteristics,Number Of Female Employees In Headcount,Please disclose the number of female employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
53,Basic,Workforce - General Characteristics,Number Of Other Employees In FTE,Please disclose the number of other employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
54,Basic,Workforce - General Characteristics,Number Of Other Employees In Headcount ,Please disclose the number of other employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
55,Basic,Workforce - General Characteristics,Number Of Not Reported Employees In FTE,Please disclose the number of not reported employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
56,Basic,Workforce - General Characteristics,Number Of Not Reported Employees In Headcount,Please disclose the number of not reported employees. (Use full-time equivalents or head count according to your initial choice.),,Number,,Head Count,,42,HeadCount,
57,Basic,Workforce - General Characteristics,Employees Per Country,Please list your employees presented by the country they work in. (Use full-time equivalents or head count according to your initial choice.),,Employees Per Country,,,,,,
58,Basic,Workforce - Health and Safety,Total Hours,Please provide the total number of hours worked in a year by all your employees.,,Number,,h,,,,
59,Basic,Workforce - Health and Safety,Number Of Accidents,Please disclose the number of work related accidents in the reporting year.,,Integer,,,,,,
60,Basic,Workforce - Health and Safety,Accident Level,"Please provide work-related accidents, namely the number of work related accidents per 100 full-time workers over a yearly timeframe (assuming 2000 work hours per worker per year).",,Number,,,,,,
61,Basic,Workforce - Health and Safety,Number Of Total Fatalities In FTE,Please disclose the total number of fatalities in the reporting year due to work-related injuries or work-related ill health.,,Integer,,Full Time Equivalents,,42,FullTimeEquivalents,
62,Basic,Workforce - Health and Safety,Number Of Total Fatalities In Headcount,Please disclose the total number of fatalities in the reporting year due to work-related injuries or work-related ill health.,,Integer,,Head Count,,42,HeadCount,
63,Basic,Workforce - Health and Safety,Number Of Fatalities Of Accidents In FTE,"Please, if possible, distinguish further and separately provide the numbers of  fatalities in the reporting year due to work-related injuries and work-related ill health.",,Integer,,Full Time Equivalents,,42,FullTimeEquivalents,
64,Basic,Workforce - Health and Safety,Number Of Fatalities Of Accidents In Headcount,"Please, if possible, distinguish further and separately provide the numbers of  fatalities in the reporting year due to work-related injuries and work-related ill health.",,Integer,,Head Count,,42,HeadCount,
65,Basic,Workforce - Health and Safety,Number Of Health Fatalities In FTE,Please disclose the number of health fatalities in full time equilivants in the reporting year.,,Integer,,Full Time Equivalents,,42,FullTimeEquivalents,
66,Basic,Workforce - Health and Safety,Number Of Health Fatalities In Headcount,Please disclose the number of health fatalities in head count in the reporting year.,,Integer,,Head Count,,42,HeadCount,
67,Basic,"Workforce - Renumeration, collective bargaining, and training",Number of minimum Wage Employees In FTE,What is the number of employees (disregarding interns and apprentices) being compensated by wages based on minimum wage rules?,,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
68,Basic,"Workforce - Renumeration, collective bargaining, and training",Number Of Minimum Wage Employees In Headcount,What is the number of employees (disregarding interns and apprentices) being compensated by wages based on minimum wage rules?,,Number,,Head Count,,42,HeadCount,
69,Basic,"Workforce - Renumeration, collective bargaining, and training",Percentage Of Minimum Wage Employees,What is the percentage of employees (disregarding interns and apprentices) being compensated by wages based on minimum wage rules?,,Percentage,,,,,,
70,Basic,"Workforce - Renumeration, collective bargaining, and training",Majority Of Minimum Wage Employees,"Do these constitute more than half of your employees (disregarding interns and apprentices, in the reporting measure you chose)?",,Yes/No,,,,,,
71,Basic,"Workforce - Renumeration, collective bargaining, and training",Entry Level Wage,Please provide the entry level wage you pay.,,Number,,Euro,,,,
72,Basic,"Workforce - Renumeration, collective bargaining, and training",Minimum Wage,Please provide the minimum wage you pay.,,Number,,Euro,,,,
73,Basic,"Workforce - Renumeration, collective bargaining, and training",Wage Ratio,Please provide the ratio of entry level wage and minimum wage.,,Number,,,,,,
74,Basic,"Workforce - Renumeration, collective bargaining, and training",Pay Gap Basis,"Please, in the following provide pay rates and work hours. On which basis do you prefer to report?",,Single-Select Radio Button,annual|weekly,,,43,>=150,
75,Basic,"Workforce - Renumeration, collective bargaining, and training",Gross Pay Male,"Now taking into account all your employees, according to your choice of timeframe, please provide the gross pay for male employees. ",,Number,,Euro,,43,>=150,
76,Basic,"Workforce - Renumeration, collective bargaining, and training",Gross Pay Female,"Now taking into account all your employees, according to your choice of timeframe, please provide the gross pay for female employees. ",,Number,,Euro,,43,>=150,
77,Basic,"Workforce - Renumeration, collective bargaining, and training",Total Work Hours Male,"Taking into account all your employees and your choice of timeframe, please provide the number of average work hours (per week/year) by male employees. ",,Number,,h,,43,>=150,
78,Basic,"Workforce - Renumeration, collective bargaining, and training",Total Work Hours Female,"Taking into account all your employees and your choice of timeframe, please provide the number of average work hours (per week/year) by female employees. ",,Number,,h,,43,>=150,
79,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Work Hours Male,"Taking into account all your employees and your choice of timeframe, please provide the number of average work hours (per week/year) by male employees. ",,Number,,h,,43,>=150,
80,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Work Hours Female,"Taking into account all your employees and your choice of timeframe, please provide the number of average work hours (per week/year) by female employees. ",,Number,,h,,43,>=150,
81,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Hourly Pay Male,What is the average hourly pay for male employees?,,Number,,Euro/h,,43,>=150,
82,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Hourly Pay Female,What is the average hourly pay for female employees?,,Number,,Euro/h,,43,>=150,
83,Basic,"Workforce - Renumeration, collective bargaining, and training",Pay Gap,What is your pay gap? ,,Number,,,,43,>=150,
84,Basic,"Workforce - Renumeration, collective bargaining, and training",Number Bargaining Agreements  In FTE,Please state the number of employees covered by collective bargaining agreements.,,Number,,Full Time Equivalents,,42,FullTimeEquivalents,
85,Basic,"Workforce - Renumeration, collective bargaining, and training",Number Bargaining Agreements In Headcount,Please state the number of employees covered by collective bargaining agreements.,,Number,,Head Count,,42,HeadCount,
86,Basic,"Workforce - Renumeration, collective bargaining, and training",Ratio Bargaining Agreement,Please provide the ratio of employees with a bargaining agreement with respect to all your employees.,,Percentage,,,,,,
87,Basic,"Workforce - Renumeration, collective bargaining, and training",Total Training Hours Male,"Please state the total numbers of annual training hours per male employee, that are related to the development of skills and competences, whether acquired through formal or informal forms of capacity-building.",,Number,,h,,,,
88,Basic,"Workforce - Renumeration, collective bargaining, and training",Total Training Hours Female,"Please state the total numbers of annual training hours per female employee, that are related to the development of skills and competences, whether acquired through formal or informal forms of capacity-building.",,Number,,h,,,,
89,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Training Hours Male,"Please state average numbers of annual training hours per male employee that are related to the development of skills and competences, whether acquired through formal or informal forms of capacity-building.",,Number,,h,,,,
90,Basic,"Workforce - Renumeration, collective bargaining, and training",Average Training Hours Female,"Please state average numbers of annual training hours per female employee that are related to the development of skills and competences, whether acquired through formal or informal forms of capacity-building.",,Number,,h,,,,
91,Basic,"Workers in the value chain, affected communities, consumers, and end-users",Negative Effects,"Please disclose whether you have a process in place for identifying wether there are value chain workers, affected communities, or consumers and end-users who are affected or are likely to be affected by severe negative impacts in relation to the undertaking’s operations (i.e., its products, services and activities). If this is in place, please describe this process. If identified, please also describe the types of impacts, including where they arise and the groups that are affected by them.",,Multiple Documents With Descriptions,,,,,,
92,Basic,"Workers in the value chain, affected communities, consumers, and end-users",Number Of Convictions,"In case of convictions and fines in the reporting period, please disclose the number of convictions and the total amount of fines incurred for the violation of anti-corruption or anti-bribery laws.",,Number,,,,,,
93,Basic,"Workers in the value chain, affected communities, consumers, and end-users",Sum Of Fines,Please disclose the sum of all fines.,,Number,,Euro,,,,
