Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
45,Environmental,PAI - biologische Vielfalt,PAIs - biologische Vielfalt,"Wird der PAI auf Biodiversität abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"45,1",Environmental,PAI - biologische Vielfalt,"Wenn Nein, bitte begründen",,FreeText,,,,45,No,
46,Environmental,PAI - biologische Vielfalt,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung des PAIs verwendet werden.",FreeText,,,,45,Yes,
47,Environmental,PAI - biologische Vielfalt,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten)",FreeText,,,,45,Yes,
48,Environmental,PAI - biologische Vielfalt,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,45,Yes,
49,Environmental,PAI - biologische Vielfalt,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Geschäftsberichte von Unternehmen, nichtfinanzielle Erklärungen, Interviews etc.",Multiple Documents With Descriptions,,,,45,Yes,
50,Environmental,PAI - Wasser,PAI - Wasser,"Wird der PAI auf Wasser abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"50,1",Environmental,PAI - Wasser,"Wenn Nein, bitte begründen",,FreeText,,,,50,No,
51,Environmental,PAI - Wasser,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung der PAIs verwendet werden.",FreeText,,,,50,Yes,
52,Environmental,PAI - Wasser,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten)",FreeText,,,,50,Yes,
53,Environmental,PAI - Wasser,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,50,Yes,
54,Environmental,PAI - Wasser,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Geschäftsberichte von Unternehmen, nichtfinanzielle Erklärungen, Interviews, Daten von NGOs etc.",Multiple Documents With Descriptions,,,,50,Yes,
55,Environmental,PAI - Abfall,PAI - Abfall,"Wird der PAI auf Abfall abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"55,1",Environmental,PAI - Abfall,"Wenn Nein, bitte begründen",,FreeText,,,,55,No,
56,Environmental,PAI - Abfall,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung des PAIs verwendet werden.",FreeText,,,,55,Yes,
57,Environmental,PAI - Abfall,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten)",FreeText,,,,55,Yes,
58,Environmental,PAI - Abfall,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,55,Yes,
59,Environmental,PAI - Abfall,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Geschäftsberichte von Unternehmen, nichtfinanzielle Erklärung, Daten von NGOs etc.",Multiple Documents With Descriptions,,,,55,Yes,
60,Environmental,PAI - Umwelt auf dem Land,PAI - Umwelt auf dem Land,"Wir der PAI auf Umwelt bei Staaten abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"60,1",Environmental,PAI - Umwelt auf dem Land,"Wenn Nein, bitte begründen",,FreeText,,,,60,No,
61,Environmental,PAI - Umwelt auf dem Land,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung des PAIs verwendet werden.",FreeText,,,,60,Yes,
62,Environmental,PAI - Umwelt auf dem Land,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen)",FreeText,,,,60,Yes,
63,Environmental,PAI - Umwelt auf dem Land,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,60,Yes,
64,Environmental,PAI - Umwelt auf dem Land,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Umweltbundesamt)",Multiple Documents With Descriptions,,,,60,Yes,
65,Environmental,SFDR,Methodik zur Messung eines signifikanten Beitrags zu einem Umweltziel,"Wie erfolgt die Abbildung eines wesentlichen Beitrages zu einem Umweltziel?
Angaben darüber ob mit der Methodik ein wesentlicher Beitrag zu einem Umweltziel gemessen werden kann und wenn ja, zu welchem und wie.",FreeText,,,,,,
66,Environmental,Kontroverse Geschäftsfelder - Tabakerzeugung,Ausschluss der Tabakerzeugung,Kann mit der Methodik Umsatz aus der Tabakproduktion ausgeschlossen werden?,Yes/No,,,,,,
"66,1",Environmental,Kontroverse Geschäftsfelder - Tabakerzeugung,"Wenn Nein, bitte begründen",,FreeText,,,,66,No,
67,Environmental,Kontroverse Geschäftsfelder - Tabakerzeugung,Verwendete Kennzahl,"Welche Kennzahl wird für die Messung des Umsatzes aus Tabakproduktion herangezogen?
Angaben zu der Zusammensetzung der Kennzahl zur Berechnung des Umsatzes aus der Tabakproduktion.",FreeText,,,,66,Yes,
68,Environmental,Kontroverse Geschäftsfelder - Tabakerzeugung,Methodik der Berechnung,"Wie erfolgt die Berechnung?
Angaben zur Methodik zur Berechnung des Umsatzes aus der Tabakproduktion.",FreeText,,,,66,Yes,
69,Environmental,Kontroverse Geschäftsfelder - Tabakerzeugung,Verwendete Quellen,"Welche Quellen werden verwendet?
Angabe von Quellen, zum Beispiel Geschäftsberichte von Unternehmen",Multiple Documents With Descriptions,,,,66,Yes,
70,Environmental,Kontroverse Geschäftsfelder - Kohleförderung und -verteilung,Ausschluss der Kohleförderung und -verteilung,Kann mit der Methodik Umsatz aus der Herstellung und dem Vertrieb von Kohle ausgeschlossen werden?,Yes/No,,,,,,
"70,1",Environmental,Kontroverse Geschäftsfelder - Kohleförderung und -verteilung,"Wenn Nein, bitte begründen",,FreeText,,,,70,No,
71,Environmental,Kontroverse Geschäftsfelder - Kohleförderung und -verteilung,Verwendete Kennzahl,"Welche Kennzahl wird für die Messung des Umsatzes aus Kohle herangezogen?
Angaben zu der Zusammensetzung der Kennzahl zur Berechnung des Umsatzes aus Kohle.",FreeText,,,,70,Yes,
72,Environmental,Kontroverse Geschäftsfelder - Kohleförderung und -verteilung,Methodik der Berechnung,"Wie erfolgt die Berechnung?
Angaben zur Methodik zur Berechnung des Umsatzes aus Kohle.",FreeText,,,,70,Yes,
73,Environmental,Kontroverse Geschäftsfelder - Kohleförderung und -verteilung,Verwendete Quellen,"Welche Quellen werden verwendet?Angabe von Quellen, zum Beispiel Geschäftsberichte von Unternehmen",Multiple Documents With Descriptions,,,,70,Yes,
74,Social,Nachhaltigskeitsrisiken,Methodik Soziale Nachhaltigkeitsrisiken,"Werden Nachhaltigkeitsrisiken bezogen auf den Bereich Soziales in der Methodik abgebildet?
Nachhaltigkeitsrisiken können einen wesentlichen negativen Einfluss auf die Performance eines Unternehmens haben.",Yes/No,,,,,,
"74,1",Social,Nachhaltigskeitsrisiken,"Wenn Nein, bitte begründen",,FreeText,,,,74,No,
75,Social,Nachhaltigskeitsrisiken,Kartierte soziale Nachhaltigkeitsrisiken,"Welche Nachhaltigkeitsrisiken im Bereich Soziales werden abgebildet?
Aufführung der Nachhaltigkeitsrisiken, die abgebildet werden können (z.B. Risiken in Bezug auf Arbeitnehmerbelange, Demographie, Gesundheitsschutz).",FreeText,,,,74,Yes,
76,Social,Nachhaltigskeitsrisiken,Identifizierung wesentlicher sozialer Nachhaltigkeitsrisiken und Konstruktionsmethodik,"Wie werden wesentliche Nachhaltigkeitsrisiken eines Unternehmens im Bereich Soziales identifiziert und berücksichtigt?
Angaben zur Wesentlichkeitsanalyse bei der Einstufung der Wesentlichkeit eines Risikos bezogen auf ein Unternehmen. Sowie Angaben dazu, wie sich die unterschiedliche Risikoeinstufung in der Methodik widerspiegelt.",FreeText,,,,74,Yes,
77,Social,Nachhaltigskeitsrisiken,Soziale Bewertung unter Berücksichtigung von Nachhaltigkeitsrisiken,"Wie werden Nachhaltigkeitsrisiken in der Bewertung bezogen auf den Bereich Soziales berücksichtigt?
Angaben dazu, ob Nachhaltigkeitsrisiken aus dem Bereich Soziales in die Erstellung des Ratings miteinbezogen werden und wenn ja wie.",FreeText,,,,,,
78,Social,Nachhaltigskeitsrisiken,Soziale Nachhaltigkeitsrisiken absichern,Wie wird die Überwachung von Nachhaltigkeitsrisiken im Bereich Soziales sichergestellt?,FreeText,,,,,,
79,Social,Nachhaltigskeitsrisiken,Quelle,"Welche Quellen werden für die Erfassung von Nachhaltigkeitsrisiken im Bereich Soziales verwendet?
Angabe von Quellen, zum Beispiel Nachhaltigkeitsberichte, ethische Richtlinien, etc.)",Multiple Documents With Descriptions,,,,,,
80,Social,Nachhaltigskeitsrisiken,Vier-Augen-Prüfung,Ist eine Vier-Augen-Verifizierung vorhanden?,Yes/No,,,,,,
"80,1",Social,Nachhaltigskeitsrisiken,"Wenn keine Vier-Augen-Prüfung, bitte begründen",,FreeText,,,,80,No,
81,Social,Nachhaltigskeitsrisiken,Beschreibung der Vier-Augen-Prüfung,Wie erfolgt die Vier-Augen-Verifizierung?,FreeText,,,,80,Yes,
82,Social,PAI - sozial,PAI - sozial,"Werden die Sozialen PAIs bei Unternehmen abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"82,1",Social,PAI - sozial,"Wenn Nein, bitte begründen",,FreeText,,,,82,No,
83,Social,PAI - sozial,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung der PAIs verwendet werden.",FreeText,,,,82,Yes,
84,Social,PAI - sozial,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten)",FreeText,,,,82,Yes,
85,Social,PAI - sozial,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,82,Yes,
86,Social,PAI - sozial,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Geschäftsberichte von Unternehmen, Gender Pay Report etc.",Multiple Documents With Descriptions,,,,82,Yes,
87,Social,PAI - Soziales auf dem Land,PAI - Soziales auf dem Land,"Werden die Sozialen PAIs bei Staaten abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"87,1",Social,PAI - Soziales auf dem Land,"Wenn Nein, bitte begründen",,FreeText,,,,87,No,
88,Social,PAI - Soziales auf dem Land,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung der PAIs verwendet werden.",FreeText,,,,87,Yes,
89,Social,PAI - Soziales auf dem Land,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten)",FreeText,,,,87,Yes,
90,Social,PAI - Soziales auf dem Land,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde eingetragen.",FreeText,,,,87,Yes,
91,Social,PAI - Soziales auf dem Land,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Freedom House Index",Multiple Documents With Descriptions,,,,87,Yes,
92,Social,SFDR,Methodik zur Messung des signifikanten Beitrags zu einem gesellschaftlichen Ziel,"Wie erfolgt die Abbildung eines wesentlichen Beitrages zu einem sozialen Ziel?
Angaben darüber ob mit der Methodik ein wesentlicher Beitrag zu einem sozialen Ziel gemessen werden kann und wenn ja, wie.",FreeText,,,,,,
93,Social,Kontroverse Geschäftsfelder - Waffen,Herstellung oder Vertrieb von Waffen Ausschluss,Kann mit der Methodik Umsatz aus der Herstellung oder dem Vertrieb von Waffen ausgeschlossen werden?,Yes/No,,,,,,
"93,1",Social,Kontroverse Geschäftsfelder - Waffen,"Wenn Nein, bitte begründen",,FreeText,,,,93,No,
94,Social,Kontroverse Geschäftsfelder - Waffen,Verwendete Kennzahl für die Umsatzmessung,"Welche Kennzahl wird für die Messung des Umsatzes aus Waffen herangezogen?
Angaben zu der Zusammensetzung der Kennzahl zur Berechnung des Umsatzes aus Waffen.",FreeText,,,,93,Yes,
95,Social,Kontroverse Geschäftsfelder - Waffen,Methodik der Berechnung,"Wie erfolgt die Berechnung?
Angaben zur Methodik zur Berechnung des Umsatzes aus Waffen.",FreeText,,,,93,Yes,
96,Social,Kontroverse Geschäftsfelder - Waffen,Verwendete Quellen,"Welche Quellen werden verwendet?
Angabe von Quellen, zum Beispiel Geschäftsberichte von Unternehmen",Multiple Documents With Descriptions,,,,93,Yes,
97,Social,Kontroverse Geschäftsfelder - Waffen,Ausschluss verbotener Waffen,Können mit der Methodik geächtete Waffen ausgeschlossen werden?,Yes/No,,,,,,
"97,1",Social,Kontroverse Geschäftsfelder - Waffen,"Wenn Auschluss nicht möglich, bitte begründen",,FreeText,,,,97,No,
98,Social,Kontroverse Geschäftsfelder - Waffen,Verwendete Kennzahl zur Abbildung geächteter Waffen,"Welche Kennzahl wird für geächtete Waffen herangezogen?
Angaben zu den Bestandteilen der Kennzahl zur Abbildung geächteter Waffen.",FreeText,,,,97,Yes,
99,Social,Kontroverse Geschäftsfelder,Verwendete Quellen,"Welche Quellen werden verwendet?
Angabe von Quellen, zum Beispiel Geschäftsberichte von Unternehmen",Multiple Documents With Descriptions,,,,97,Yes,
100,Governance,Good Governance,Methodik der guten Regierungsführung,Können Good Governance Aspekte im Rahmen der Methodik berücksichtigt werden?,Yes/No,,,,,,
"100,1",Governance,Good Governance,"Wenn Nein, bitte begründen",,FreeText,,,,100,No,
101,Governance,Good Governance,Definition von guter Regierungsführung,"Wie wird Good Governance im Rahmen der Methodik definiert?
Definition von Good Governance im Rahmen der Methodik.",FreeText,,,,100,Yes,
102,Governance,Good Governance,Liste der KPIs für gute Unternehmensführung,"Welche KPIs werden zur Berurteilung einer Good Governance genutzt?
Aufführung der KPIs zur Beurteilung von Good Governance.",FreeText,,,,100,Yes,
103,Governance,Good Governance,Verwendete Quellen,"Welche Quellen werden verwendet?
Angabe von Quellen, zum Beispiel Nachhaltigkeitsberichte, Internetseiten von Unternehmen.",Multiple Documents With Descriptions,,,,100,Yes,
104,Governance,Good Governance - UNGC,Berücksichtigung des UNGC,Werden die UNGC in der Analyse berücksichtigt?,Yes/No,,,,,,
"104,1",Governance,Good Governance - UNGC,"Wenn Nein, bitte begründen",,FreeText,,,,104,No,
105,Governance,Good Governance - UNGC,Berücksichtigung der UNGC- Beschreibung,"Wie erfolgt die Berücksichtigung der UNGC?
Wenn eine Berücksichtigung der UNGC erfolgt Angaben darüber, wie die Berücksichtigung abgebildet wird.",FreeText,,,,104,Yes,
106,Governance,Good Governance - UNGC,Verwendete Quellen,"Welche Quellen werden verwendet?
Angabe von Quellen, zum Beispiel UNGC, Nachhaltigkeitsberichte",Multiple Documents With Descriptions,,,,104,Yes,
107,Governance,Bestechung und Korruption,Kontroversen im Bereich der Bestechung und Korruption,Werden Kontroversen im Bereich Bestechung und Korruption abgebildet?,Yes/No,,,,,,
"107,1",Governance,Bestechung und Korruption,"Wenn Nein, bitte begründen",,FreeText,,,,107,No,
108,Governance,Bestechung und Korruption,Verwendete Metriken und Methodik,"Wie werden Kontroversen im Bereich Bestechung und Korruption abgebildet?
Angabe von Kennzahlen und Methodiken zur Abbildung von Kontroversen im Bereich Bestechung und Korruption.",FreeText,,,,107,Yes,
