Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
37,Umwelt,Taxonomie,Taxonomie Berichterstattung,Wird der EU-Taxonomie Bericht auf Basis NFRD oder auf Basis CSRD erstellt?,Single-Select Dropdown,NFRD| CSRD,,,0,Yes,
38,Umwelt,Taxonomie,EU Taxonomie Kompass Aktivitäten,Welche Aktivitäten gem. dem EU Taxonomie-Kompass übt das Unternehmen aus?,Custom - Multi-Select with EuTaxoActivites,,,,0,Yes,
39,Umwelt,Taxonomie,Umsatz/Investitionsaufwand für nachhaltige Aktivitäten,"Wie hoch ist der Umsatz/Investitionsaufwand des Unternehmens aus nachhaltigen Aktivitäten (Mio. €) gemäß einer Definition der EU-Taxonomie? Bitte machen Sie Angaben zu den betrachteten Sektoren und gegebenenfalls zu den Annahmen bzgl. Taxonomie-konformen (aligned) Aktivitäten für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
40,Soziales,Unternehmensstrukturänderungen,Vorhandensein kürzlicher Änderungen der Unternehmensstruktur,"Gab es kürzlich eine Veränderung im Unternehmen / in der Gruppe (Umstrukturierung, Verkauf oder Übernahme)?",Yes/No,,,,0,Yes,
40.1,Soziales,Unternehmensstrukturänderungen,Anzahl unbefristeter Verträge in Deutschland,Bitte teilen Sie mit uns wieviele unbefristete Verträge es insgesamt in Deutschland gibt.,Integer,,,,40,Yes,
40.1.1,Soziales,Unternehmensstrukturänderungen,Anzahl der von einem Verkauf betroffenen unbefristeten Verträge in Deutschland ,Bitte teilen Sie mit uns wieviele unbefristete Verträge in Deutschland von einem etwaigen Verkauf betroffen waren.,Integer,,,,40,Yes,
40.1.2,Soziales,Unternehmensstrukturänderungen,Anzahl der von einer Akquisition betroffenen unbefristeten Verträge in Deutschland ,Bitte teilen Sie mit uns wieviele unbefristete Verträge in Deutschland von einer etwaigen Akquisition betroffen waren.,Integer,,,,40,Yes,
40.2,Soziales,Unternehmensstrukturänderungen,Anzahl unbefristeter Verträge in der Gesamtgruppe,Bitte teilen Sie mit uns wieviele unbefristete Verträge es insgesamt in der Gesamtgruppe gibt.,Integer,,,,40,Yes,
40.2.1,Soziales,Unternehmensstrukturänderungen,Anzahl der von einem Verkauf betroffenen unbefristeten Verträge in der Gesamtgruppe,Bitte teilen Sie mit uns wieviele unbefristete Verträge in der Gesamtgruppe von einem etwaigen Verkauf betroffen waren.,Integer,,,,40,Yes,
40.2.2,Soziales,Unternehmensstrukturänderungen,Anzahl der von einer Akquisition betroffenen unbefristeten Verträge in der Gesamtgruppe,Bitte teilen Sie mit uns wieviele unbefristete Verträge in der Gesamtgruppe von einer etwaigen Akquisition betroffen waren.,Integer,,,,40,Yes,
40.3,Soziales,Unternehmensstrukturänderungen,Auswirkungen auf Anteil befrister Verträge und Fluktuation,Bitte geben Sie die Anzahl der befristeten Verträge sowie die Fluktuation (%) für die letzten drei Jahre an.,Custom - Rolling Window (past-only),,,,40,Yes,
41,Soziales,Sicherheit und Weiterbildung,Sicherheitsmaßnahmen für Mitarbeiter,"Welche Maßnahmen werden ergriffen, um die Gesundheit und Sicherheit der Mitarbeiter des Unternehmens zu verbessern?",FreeText,,,,0,Yes,
42,Soziales,Sicherheit und Weiterbildung,Unfallrate,Wie hoch war die Häufigkeitsrate von Arbeitsunfällen mit Zeitverlust für die letzten drei Jahre?,Custom - Rolling Window (past-only),,,,0,Yes,
43,Soziales,Sicherheit und Weiterbildung,Budget für Schulung/Ausbildung,"Bitte geben Sie an wie hoch das Budget ist, das pro Mitarbeiter und Jahr für Schulungen/Fortbildungen in den letzten drei Jahren ausgegeben wurde.",Custom - Rolling Window (past-only),,,,0,Yes,
44,Soziales,Einkommensgleichheit,Überwachung der Einkommensungleichheit,"Bitte geben Sie das unbereinigte geschlechtsspezifische Lohngefälle, das Einkommensungleichheitsverhältnis, sowie das CEO-Einkommensungleichheitsverhältnis für die letzten drei Jahre an.",Custom - Rolling Window (past-only),,,,0,Yes,
45,Soziales,Einkommensgleichheit,Maßnahmen zur Verbesserung der Einkommensungleichheit,"Wie überwacht das Unternehmen die Einkommens(un)gleichheit und welche Maßnahmen wurden ergriffen, um die Einkommensungleichheit abzustellen?",FreeText,,,,0,Yes,
46.1,Soziales,Geschlechterdiversität,Mitarbeiter auf Top-Management Ebene,Geben Sie bitte an wieviele Personen eine Top-Management Position innehaben.,Integer,,,,0,Yes,
46.2,Soziales,Geschlechterdiversität,Frauen auf Top-Management-Ebene,Geben Sie bitte an wieviele Frauen eine Top-Management Position innehaben.,Integer,,,,0,Yes,
47.1,Soziales,Geschlechterdiversität,Mitglieder Geschäftsführung,Geben Sie bitte an wieviele Mitglieder die Geschäftsführung hat.,Integer,,,,0,Yes,
47.2,Soziales,Geschlechterdiversität,Frauen in der Geschäftsführung,Geben Sie bitte an wieviele Frauen in der Geschäftsführung sind.,Integer,,,,0,Yes,
48,Soziales,Geschlechterdiversität,Definition Top-Management,"Bitte geben Sie Ihre Definition von ""Top-Management"".",FreeText,,,,0,Yes,
49,Soziales,Geschlechterdiversität,Einhaltung rechtlicher Vorgaben,"Welche Maßnahmen wurden ergriffen, um das geltende Recht in Bezug auf die Geschlechterdiversität von Exekutivinstanzen einzuhalten?",FreeText,,,,0,Yes,
50,Soziales,Audit,Audits zur Einhaltung von Arbeitsstandards,"Führt das Unternehmen interne oder externe Audits durch, um die Einhaltung der Arbeitsnormen durch das Unternehmen zu bewerten?",Yes/No,,,,0,Yes,
50.1,Soziales,Audit,Art des Audits,Wie werden die Audits zur Einhaltung von Arbeitsstandards durchgeführt?,Single-Select Dropdown,Interne Anhörung| Prüfung durch Dritte| Sowohl intern als auch von Drittanbietern,,,50,Yes,
50.2,Soziales,Audit,Audit Ergebnisse,Bitte geben Sie Informationen über das letzte Audit an.,FreeText,,,,50,Yes,
51,Unternehmensführung/ Governance,Aufsichtsrat,Anzahl der Mitglieder im Aufsichtsrat,Wieviele Mitglieder hat der Aufsichtsrat?,Integer,,,,0,Yes,
51.1,Unternehmensführung/ Governance,Aufsichtsrat,Anzahl unabhängiger Mitglieder im Aufsichtsrat,Wieviele unabhängige Mitglieder hat der Aufsichtsrat?,Integer,,,,0,Yes,
51.2,Unternehmensführung/ Governance,Aufsichtsrat,Anzahl von Frauen im Aufsichtsrat,Wieviele Frauen sind im Aufsichtsrat?,Integer,,,,0,Yes,
52,Unternehmensführung/ Governance,Vergütungsausschuss,Anzahl der Mitglieder im Vergütungsausschuss,Wieviele Mitglieder hat der Vergütungsausschuss?,Integer,,,,0,Yes,
52.1,Unternehmensführung/ Governance,Vergütungsausschuss,Anzahl unabhängiger Mitglieder im Vergütungsausschuss,Wieviele unabhängige Mitglieder hat der Vergütungsausschuss?,Integer,,,,0,Yes,
52.2,Unternehmensführung/ Governance,Vergütungsausschuss,Anzahl von Frauen im Vergütungsausschuss,Wieviele Frauen sind im Vergütungsausschuss?,Integer,,,,0,Yes,
53,Unternehmensführung/ Governance,Nominierungsausschuss,Anzahl der Mitglieder im Nominierungsausschuss,Wieviele Mitglieder hat der Nominierungsausschuss?,Integer,,,,0,Yes,
53.1,Unternehmensführung/ Governance,Nominierungsausschuss,Anzahl unabhängiger Mitglieder im Nominierungsausschuss,Wieviele unabhängige Mitglieder hat der Nominierungsausschuss?,Integer,,,,0,Yes,
53.2,Unternehmensführung/ Governance,Nominierungsausschuss,Anzahl von Frauen im Vergütungsausschuss,Wieviele Frauen sind im Nominierungsausschuss?,Integer,,,,0,Yes,
54,Unternehmensführung/ Governance,Prüfungsausschuss,Anzahl der Mitglieder im Prüfungsausschuss,Wieviele Mitglieder hat der Prüfungsausschuss?,Integer,,,,0,Yes,
54.1,Unternehmensführung/ Governance,Prüfungsausschuss,Anzahl unabhängiger Mitglieder im Prüfungsausschuss,Wieviele unabhängige Mitglieder hat der Prüfungsausschuss?,Integer,,,,0,Yes,
54.2,Unternehmensführung/ Governance,Prüfungsausschuss,Anzahl von Frauen im Prüfungsausschuss,Wieviele Frauen sind im Prüfungsausschuss?,Integer,,,,0,Yes,
55,Unternehmensführung/ Governance,Nachhaltigkeitsausschuss,Anzahl der Mitglieder im Nachhaltigkeitsausschuss,Wieviele Mitglieder hat der Nachhaltigkeitsausschuss?,Integer,,,,0,Yes,
55.1,Unternehmensführung/ Governance,Nachhaltigkeitsausschuss,Anzahl unabhängiger Mitglieder im Nachhaltigkeitsausschuss,Wieviele unabhängige Mitglieder hat der Nachhaltigkeitsausschuss?,Integer,,,,0,Yes,
55.2,Unternehmensführung/ Governance,Nachhaltigkeitsausschuss,Anzahl von Frauen im Nachhaltigkeitsausschuss,Wieviele Frauen sind im Nachhaltigkeitsausschuss?,Integer,,,,0,Yes,
56,Unternehmensführung/ Governance,Sonstige,Wirtschaftsprüfer,,String,,,,0,Yes,
57,Unternehmensführung/ Governance,Sonstige,Trennung von CEO oder Vorsitzenden,Hat sich das Unternehmen im aktuellen Jahr der Berichterstattung von CEO/Vorsitzenden getrennt?,Yes/No,,,,0,Yes,
57.1,Unternehmensführung/ Governance,Sonstige,Amtszeit bis zur Trennung,Wieviele Jahre war der/die CEO/Vorsitzende(r) im Amt?,Integer,,Jahre,,57,Yes,
58,Unternehmensführung/ Governance,Stakeholder,Einbeziehung von Stakeholdern,Gibt es einen kontinuierlichen Prozess des Dialogs mit den Stakeholdern des Unternehmens?,Yes/No,,,,0,Yes,
