Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
14.1,Revenue,Non-Aligned Share,Relative Share in Percent,Relative Share in Percent Revenue NA,Relative share of the revenue that is associated with non taxonomy-aligned but eligible activities,Percentage,,,Extended,,,,Yes,Yes,
14.2,Revenue,Non-Aligned Share,Absolute Share,Absolute Share Revenue NA,Absolute value of the revenue that is associated with non taxonomy-aligned but eligible activities,Currency,,,Extended,,,,Yes,Yes,
15,Revenue,,Non-Aligned Activities,Non-Aligned Activities Revenue,Absolute value and share of the revenue per activity that is not taxonomy-aligned but eligible,Custom EuTaxonomyNonAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
16.1,Revenue,Aligned Share,Relative Share in Percent,Relative Share in Percent Revenue,"Relative share of the total eligible revenue that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards. In same currency than total revenue.",Percentage,,,Extended,,,,Yes,Yes,
16.2,Revenue,Aligned Share,Absolute Share,Absolute Share Revenue,"Absolute value of the total eligible revenue that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards. In same currency than total revenue.",Currency,,,Extended,,,,Yes,Yes,
17,Revenue,,Substantial Contribution to Climate Change Mitigation In Percent - Eligible,Substantial Contribution to CCM In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
17.1,Revenue,,Substantial Contribution to Climate Change Mitigation In Percent - Aligned,Substantial Contribution to CCM In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
17.1.1,Revenue,,Substantial Contribution to Climate Change Mitigation In Percent - Of which use of proceeds,Substantial Contribution to CCM In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
17.1.2,Revenue,,Substantial Contribution to Climate Change Mitigation In Percent - Enabling Share,Substantial Contribution to CCM In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
17.1.3,Revenue,,Substantial Contribution to Climate Change Mitigation In Percent - Transitional Share,Substantial Contribution to CCM In Percent - Transitional Share Revenue,Taxonomy-aligned and transitional proportion of revenue substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
18,Revenue,,Substantial Contribution to Climate Change Adaptation In Percent - Eligible,Substantial Contribution to CCA In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
18.1,Revenue,,Substantial Contribution to Climate Change Adaptation In Percent - Aligned,Substantial Contribution to CCA In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
18.1.1,Revenue,,Substantial Contribution to Climate Change Adaptation In Percent - Of which use of proceeds,Substantial Contribution to CCA In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
18.1.2,Revenue,,Substantial Contribution to Climate Change Adaptation In Percent - Enabling Share,Substantial Contribution to CCA In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
19,Revenue,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Eligible,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
19.1,Revenue,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Aligned,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
19.1.1,Revenue,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Of which use of proceeds,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
19.1.2,Revenue,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Enabling Share,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
20,Revenue,,Substantial Contribution to Transition to a Circular Economy In Percent - Eligible,Substantial Contribution to CE In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
20.1,Revenue,,Substantial Contribution to Transition to a Circular Economy In Percent - Aligned,Substantial Contribution to CE In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
20.1.1,Revenue,,Substantial Contribution to Transition to a Circular Economy In Percent - Of which use of proceeds,Substantial Contribution to CE In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
20.1.2,Revenue,,Substantial Contribution to Transition to a Circular Economy In Percent - Enabling Share,Substantial Contribution to CE In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
21,Revenue,,Substantial Contribution to Pollution Prevention and Control In Percent - Eligible,Substantial Contribution to PPC In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
21.1,Revenue,,Substantial Contribution to Pollution Prevention and Control In Percent - Aligned,Substantial Contribution to PPC In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
21.1.1,Revenue,,Substantial Contribution to Pollution Prevention and Control In Percent - Of which use of proceeds,Substantial Contribution to PPC In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
21.1.2,Revenue,,Substantial Contribution to Pollution Prevention and Control In Percent - Enabling Share,Substantial Contribution to PPC In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
22,Revenue,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Eligible,Substantial Contribution to BIO In Percent - Eligible Revenue,Taxonomy-eligible proportion of revenue substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
22.1,Revenue,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Aligned,Substantial Contribution to BIO In Percent - Aligned Revenue,Taxonomy-aligned proportion of revenue substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
22.1.1,Revenue,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Of which use of proceeds,Substantial Contribution to BIO In Percent - Of which use of proceeds Revenue,Taxonomy-aligned use of proceeds share substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
22.1.2,Revenue,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Enabling Share,Substantial Contribution to BIO In Percent - Enabling Share Revenue,Taxonomy-aligned and enabling proportion of revenue substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
23,Revenue,,Aligned Activities,Aligned Activities Revenue,"Absolute value and share of the revenue per activity that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards",Custom EuTaxonomyAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
24,Revenue,,Enabling Share In Percent,Enabling Share In Percent Revenue,Share of the taxonomy-aligned revenue from total aligned revenue that is linked to activities that enable reduction of GHG in other sectors,Percentage,,,Extended,,,,Yes,Yes,
25,Revenue,,Transitional Share In Percent,Transitional Share In Percent Revenue,Share of the taxonomy-aligned revenue from total aligned revenue that is linked to activities with significantly lower GHG emissions than the sector or industry average,Percentage,,,Extended,,,,Yes,Yes,
26,CapEx,,Total Amount,Total Amount Capex,"Total CapEx for the reported year. Capital expenditures are non-consumable investments, e.g. for acquiring, upgrading, and maintaining physical assets such as property, plants, buildings, technology ",Currency,,,Extended,,,,Yes,Yes,
27.1,CapEx,Non-Eligible Share,Relative Share in Percent,Relative Share in Percent Capex NE,Relative share of the CapEx that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Percentage,,,Extended,,,,Yes,Yes,
27.2,CapEx,Non-Eligible Share,Absolute Share,Absolute Share Capex NE,Absolute value of the CapEx that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Currency,,,Extended,,,,Yes,Yes,
28.1,CapEx,Eligible Share,Relative Share in Percent,Relative Share in Percent Capex E,Relative share of the total CapEx where the economic activity meets taxonomy criteria for substantial contribution to climate change mitigation and does no serious harm to the other environmental objectives (DNSH criteria),Percentage,,,Extended,,,,Yes,Yes,
28.2,CapEx,Eligible Share,Absolute Share,Absolute Share Capex E,Absolute value of the total CapEx where the economic activity meets taxonomy criteria for substantial contribution to climate change mitigation and does no serious harm to the other environmental objectives (DNSH criteria),Currency,,,Extended,,,,Yes,Yes,
29.1,CapEx,Non-Aligned Share,Relative Share in Percent,Relative Share in Percent Capex NA,Relative share of the CapEx that is associated with non taxonomy-aligned but eligible activities,Percentage,,,Extended,,,,Yes,Yes,
29.2,CapEx,Non-Aligned Share,Absolute Share,Absolute Share Capex NA,Absolute value of the CapEx that is associated with non taxonomy-aligned but eligible activities,Currency,,,Extended,,,,Yes,Yes,
30,CapEx,,Non-Aligned Activities,Non-Aligned Activities Capex NA,Absolute value and share of the CapEx per activity that is not taxonomy-aligned but eligible,Custom EuTaxonomyNonAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
31.1,CapEx,Aligned Share,Relative Share in Percent,Relative Share in Percent Capex A,"Relative share of CapEx that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards.",Percentage,,,Extended,,,,Yes,Yes,
31.2,CapEx,Aligned Share,Absolute Share,Absolute Share Capex A,"Absolute value of CapEx that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards.",Currency,,,Extended,,,,Yes,Yes,
32,CapEx,,Substantial Contribution to Climate Change Mitigation In Percent - Eligible,Substantial Contribution to CCM In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
32.1,CapEx,,Substantial Contribution to Climate Change Mitigation In Percent - Aligned,Substantial Contribution to CCM In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
32.1.1,CapEx,,Substantial Contribution to Climate Change Mitigation In Percent - Of which use of proceeds,Substantial Contribution to CCM In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
32.1.2,CapEx,,Substantial Contribution to Climate Change Mitigation In Percent - Enabling Share,Substantial Contribution to CCM In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
32.1.3,CapEx,,Substantial Contribution to Climate Change Mitigation In Percent - Transitional Share,Substantial Contribution to CCM In Percent - Transitional Share Capex,Taxonomy-aligned and transitional proportion of CapEx substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
33,CapEx,,Substantial Contribution to Climate Change Adaptation In Percent - Eligible,Substantial Contribution to CCA In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
33.1,CapEx,,Substantial Contribution to Climate Change Adaptation In Percent - Aligned,Substantial Contribution to CCA In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
33.1.1,CapEx,,Substantial Contribution to Climate Change Adaptation In Percent - Of which use of proceeds,Substantial Contribution to CCA In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
33.1.2,CapEx,,Substantial Contribution to Climate Change Adaptation In Percent - Enabling Share,Substantial Contribution to CCA In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
34,CapEx,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Eligible,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
34.1,CapEx,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Aligned,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
34.1.1,CapEx,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Of which use of proceeds,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
34.1.2,CapEx,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Enabling Share,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
35,CapEx,,Substantial Contribution to Transition to a Circular Economy In Percent - Eligible,Substantial Contribution to CE In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
35.1,CapEx,,Substantial Contribution to Transition to a Circular Economy In Percent - Aligned,Substantial Contribution to CE In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
35.1.1,CapEx,,Substantial Contribution to Transition to a Circular Economy In Percent - Of which use of proceeds,Substantial Contribution to CE In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
35.1.2,CapEx,,Substantial Contribution to Transition to a Circular Economy In Percent - Enabling Share,Substantial Contribution to CE In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
36,CapEx,,Substantial Contribution to Pollution Prevention and Control In Percent - Eligible,Substantial Contribution to PPC In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
36.1,CapEx,,Substantial Contribution to Pollution Prevention and Control In Percent - Aligned,Substantial Contribution to PPC In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
36.1.1,CapEx,,Substantial Contribution to Pollution Prevention and Control In Percent - Of which use of proceeds,Substantial Contribution to PPC In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
36.1.2,CapEx,,Substantial Contribution to Pollution Prevention and Control In Percent - Enabling Share,Substantial Contribution to PPC In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
37,CapEx,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Eligible,Substantial Contribution to BIO In Percent - Eligible Capex,Taxonomy-eligible proportion of CapEx substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
37.1,CapEx,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Aligned,Substantial Contribution to BIO In Percent - Aligned Capex,Taxonomy-aligned proportion of CapEx substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
37.1.1,CapEx,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Of which use of proceeds,Substantial Contribution to BIO In Percent - Of which use of proceeds Capex,Taxonomy-aligned use of proceeds share substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
37.1.2,CapEx,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Enabling Share,Substantial Contribution to BIO In Percent - Enabling Share Capex,Taxonomy-aligned and enabling proportion of CapEx substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
38,CapEx,,Aligned Activities,Aligned Activities Capex,"Absolute value and share of the CapEx per activity that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards",Custom EuTaxonomyAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
39,CapEx,,Enabling Share In Percent,Enabling Share In Percent Capex,Share of the taxonomy-aligned CapEx from total aligned CapEx that is linked to activities that enable reduction of GHG in other sectors,Percentage,,,Extended,,,,Yes,Yes,
40,CapEx,,Transitional Share In Percent,Transitional Share In Percent Capex,Share of the taxonomy-aligned CapEx from total aligned CapEx that is linked to activities with significantly lower GHG emissions than the sector or industry average,Percentage,,,Extended,,,,Yes,Yes,
41,OpEx,,Total Amount,Total Amount Opex,Total OpEx for the financial year. Operating expenses (OpEx) are shorter term expenses required to meet the ongoing operational costs of running a business.,Currency,,,Extended,,,,Yes,Yes,
42.1,OpEx,Non-Eligible Share,Relative Share in Percent,Relative Share in Percent Opex NE,Relative share of the OpEx that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Percentage,,,Extended,,,,Yes,Yes,
42.2,OpEx,Non-Eligible Share,Absolute Share,Absolute Share Opex NE,Absolute value of the OpEx that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Currency,,,Extended,,,,Yes,Yes,
43.1,OpEx,Eligible Share,Relative Share in Percent,Relative Share in Percent Opex E,Relative share of the OpEx that is part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Percentage,,,Extended,,,,Yes,Yes,
43.2,OpEx,Eligible Share,Absolute Share,Absolute Share Opex E,Absolute value of the OpEx that is part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Currency,,,Extended,,,,Yes,Yes,
44.1,OpEx,Non-Aligned Share,Relative Share in Percent,Relative Share in Percent Opex NA,Relative share of the OpEx that is associated with non taxonomy-aligned but eligible activities,Percentage,,,Extended,,,,Yes,Yes,
44.2,OpEx,Non-Aligned Share,Absolute Share,Absolute Share Opex NA,Absolute value of the OpEx that is associated with non taxonomy-aligned but eligible activities,Currency,,,Extended,,,,Yes,Yes,
45,OpEx,,Non-Aligned Activities,Non-Aligned Activities Opex,Absolute value and share of the OpEx per activity that is not taxonomy-aligned but eligible,Custom EuTaxonomyNonAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
46.1,OpEx,Aligned Share,Relative Share in Percent,Relative Share in Percent Opex,"Relative share of the OpEx that is associated with taxonomy-aligned activities. i.e., for an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards",Percentage,,,Extended,,,,Yes,Yes,
46.2,OpEx,Aligned Share,Absolute Share,Absolute Share Opex,"Absolute value of the OpEx that is associated with taxonomy-aligned activities. i.e., for an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards",Currency,,,Extended,,,,Yes,Yes,
47,OpEx,,Substantial Contribution to Climate Change Mitigation In Percent - Aligned,Substantial Contribution to CCM In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to climate change mitigation,Percentage,,,Extended,,,,Yes,Yes,
48,OpEx,,Substantial Contribution to Climate Change Adaptation In Percent - Aligned,Substantial Contribution to CCA In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to climate change adaptation,Percentage,,,Extended,,,,Yes,Yes,
49,OpEx,,Substantial Contribution to Sustainable Use and Protection of Water and Marine Resources In Percent - Aligned,Substantial Contribution to Sustainable Use and Protection of WTR In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to sustainable use and protection of water and marine resources,Percentage,,,Extended,,,,Yes,Yes,
50,OpEx,,Substantial Contribution to Transition to a Circular Economy In Percent - Aligned,Substantial Contribution to CE In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to circular economy,Percentage,,,Extended,,,,Yes,Yes,
51,OpEx,,Substantial Contribution to Pollution Prevention and Control In Percent - Aligned,Substantial Contribution to PPC In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to pollution prevention and control,Percentage,,,Extended,,,,Yes,Yes,
52,OpEx,,Substantial Contribution to Protection and Restoration of Biodiversity and Ecosystems In Percent - Aligned,Substantial Contribution to BIO In Percent - Aligned Opex,Taxonomy-aligned proportion of OpEx substantially contributing to protection and restoration of biodiversity and ecosystems,Percentage,,,Extended,,,,Yes,Yes,
53,OpEx,,Aligned Activities,Aligned Activities Opex,Absolute value and share of taxonomy-aligned OpEx for the activity from total OpEx. ,Custom EuTaxonomyAlignedActivitiesComponent,,,Extended,,,,Yes,Yes,
54,OpEx,,Enabling Share In Percent,Enabling Share In Percent Opex,Share of the taxonomy-aligned OpEx from total aligned OpEx that is linked to activities that enable reduction of GHG in other sectors,Percentage,,,Extended,,,,Yes,Yes,
55,OpEx,,Transitional Share In Percent,Transitional Share In Percent Opex,Share of the taxonomy-aligned OpEx from total aligned OpEx that is linked to activities with significantly lower GHG emissions than the sector or industry average,Percentage,,,Extended,,,,Yes,Yes,
