Field Identifier,Category,Sub-Category,Field Name,Tooltip - upload page,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
73,Social,Child labor,Employment Under Local Minimum Age Prevention -  Employment Contracts,"Do you have a formal recruitment process, including employment contracts?",,Yes/No,,,,72,Yes,
74,Social,Child labor,Employment Under Local Minimum Age Prevention  -  Job Description,Do you have a clear job description for employees under local minimum age as part of your recruitment process and employment contracts?,,Yes/No,,,,72,Yes,
75,Social,Child labor,Employment Under Local Minimum Age Prevention - Identity Documents,"Do you check official documents, such as identity documents or certificates?",,Yes/No,,,,72,Yes,
76,Social,Child labor,Employment Under Local Minimum Age Prevention - Training,Do you offer awareness trainings for people involved in the recruitment process to prevent child labor?,,Yes/No,,,Simple,72,Yes,
77,Social,Child labor,Employment Under Local Minimum Age Prevention - Checking Of Legal Minimum Age,Do you regularly check that your employees are at least of minimum age?,,Yes/No,,,,72,Yes,
78,Social,Child labor,Child Labor Prevention Policy,"Does your company have a policy to prevent child labor? If yes, please share the policy with us.",,Yes/No,,,Simple,72,Yes,
79,Social,Child labor,Additional Child Labor Other Measures,Have any other measures been taken to prevent the employment of children under the locally applicable minimum age?,,Yes/No,,,Simple,72,Yes,
80,Social,Child labor,Additional Child Labor Other Measures Description,Please list any other measures (if available) you take to prevent the employment of children under the locally applicable minimum age?,,String,,,,79,Yes,
81,Social,"Forced labor, slavery",Forced Labor and Slavery Practices,"Does your company have practices that lead or may lead to forced labor and/or slavery? The following are included: Creating unacceptable working and living conditions by working in hazardous conditions or within unacceptable accommodations provided by the employer; Excessive levels of overtime; Use of intimidation, threats, and/or punishment; Other types of forced labor (e.g. debt bondage, human trafficking)",,Yes/No,,,,,,
82,Social,"Forced labor, slavery",Forced Labor and Slavery Practices Specification,Please specify which practices apply.,,String,,,,81,Yes,
83,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention Measures,Does your company take measures to prevent forced labor and slavery?,,Yes/No,,,,,,
84,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention - Employment Contracts,"Do you have a formal hiring process, including employment contracts in the employee's local language, with appropriate wage and termination clauses?",,Yes/No,,,,83,Yes,
85,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention - Identity Documents,Do you prohibit the withholding of identity documents?,,Yes/No,,,,83,Yes,
86,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention - Free Movement,"Do you ensure that doors and windows can be opened to allow the free movement of employees, as well as the ability to leave the company's premises at any time?",,Yes/No,,,,83,Yes,
87,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention - Provision Social Rooms and Toilets,Do you provide social rooms and toilets that can be used at any time?,,Yes/No,,,,83,Yes,
88,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention - Training,Do you offer awareness trainings for people involved in the recruitment process to prevent forced labor?,,Yes/No,,,Simple,83,Yes,
89,Social,"Forced labor, slavery",Forced Labor Prevention Policy,"Does your company have a policy to prevent forced labor? If yes, please share the policy with us.",,Yes/No,,,Simple,83,Yes,
90,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention Other Measures,Have any other measures been taken to prevent forced labor and slavery?,,Yes/No,,,Simple,83,Yes,
91,Social,"Forced labor, slavery",Forced Labor and Slavery Prevention Other Measures Description,Please list any other measures (if available) you take to prevent forced labor and slavery.,,FreeText,,,,90,Yes,
92,Social,Withholding adequate wages,Adequate Wage Withholding,Is your company currently withholding adequate wages (adequate in the sense of local laws)?,,Yes/No,,,,,,
93,Social,Withholding adequate wages,Adequate Wages Measures,Are any measures taken to prevent the withholding of adequate wages?,,Yes/No,,,,,,
94,Social,Withholding adequate wages,Documented Working Hours and Wages,Does your company document the working hours and wages of its employees?,,Yes/No,,,Simple,93,Yes,
95,Social,Withholding adequate wages,Adequate Living Wage,Does your company pay employees adequate living wages? (the appropriate wage is at least the minimum wage set by the applicable law and is otherwise measured according to the law of the place of employment),,Yes/No,,,Simple,93,Yes,
96,Social,Withholding adequate wages,Regular Wages Process Flow,Has your company implemented the payment of wages through standardized and regular process flows?,,Yes/No,,,,93,Yes,
97,Social,Withholding adequate wages,Fixed Hourly Wages,Do fixed hourly wages exist in your company?,,Yes/No/NA,,,,93,Yes,
98,Social,Withholding adequate wages,Fixed Piecework Wages,Does your company have fixed piecework wages (pay per unit)?,,Yes/No/NA,,,,93,Yes,
99,Social,Withholding adequate wages,Adequate Wage Other Measures,Have any other measures been taken to prevent withholding adequate wages?,,Yes/No,,,Simple,93,Yes,
100,Social,Withholding adequate wages,Adequate Wage Other Measures Description,Please list other measures (if available) you take to prevent withholding adequate wages?,,String,,,,99,Yes,
101,Social,Disregard for occupational health/safety,Low Skill Work,Do your employees perform low-skill or repetitive manual labor?,,Yes/No,,,,,,
102,Social,Disregard for occupational health/safety,Hazardous Machines,Are hazardous machines used in the manufacturing of (preliminary) products?,,Yes/No,,,,,,
103,Social,Disregard for occupational health/safety,OSH Measures,Does your company take measures to prevent the disregard for occupational health and safety?,,Yes/No,,,,,,
104,Social,Disregard for occupational health/safety,OSH Policy,"Has your company implemented and enforced a formal occupational health and safety (OSH) policy that complies with local laws, industry requirements, and international standards?",,Yes/No,,,Simple,103,Yes,
105,Social,Disregard for occupational health/safety,OSH Training,Has your company introduced mandatory training for employees to improve occupational safety?,,Yes/No,,,Simple,103,Yes,
106,Social,Disregard for occupational health/safety,Health and Safety Policy,"Does your company have a Health and Safety Policy? If yes, please share the policy with us.",,Yes/No,,,Simple,103,Yes,
107,Social,Disregard for occupational health/safety,Other OSH Measures,Have any other measures been taken to prevent the disregard for occupational health and safety?,,Yes/No,,,Simple,103,Yes,
108,Social,Disregard for occupational health/safety,Other OSH Measures Description,Please list other measures (if available) you take to prevent the disregard for occupational health and safety?,,String,,,,107,Yes,
109,Social,Disregard for occupational health/safety,Under 10 Workplace Accidents,Have there been less than 10 incidents in which employees suffered work-related injuries with serious consequences in the past fiscal year?,,Yes/No,,,,,,
110,Social,Disregard for freedom of association,Freedom Of Association,Does your company ensure that employees are free to form or join trade unions?,,Yes/No,,,,,,
111,Social,Disregard for freedom of association,Employee Representation,What is your percentage of employees who are represented by trade unions?,,Percentage,,,,110,Yes,
112,Social,Disregard for freedom of association,Freedom of Association Disregard Prevention,Does your company take measures to prevent the disregard for freedom of association?,,Yes/No,,,,,,
113,Social,Disregard for freedom of association,Discrimination for Trade Union Members,"Does your company ensure that no consequences are taken against employees in the event of the formation, joining, and membership of a trade union?",,Yes/No,,,,112,Yes,
114,Social,Disregard for freedom of association,Freedom of Operation for Trade Union,Does your company ensure that trade unions are free to operate in accordance with the law in the place of employment?,,Yes/No,,,,112,Yes,
115,Social,Disregard for freedom of association,Freedom of Association Training,"Do employees receive information about their rights as a part of training, notices, or company brochures?",,Yes/No,,,Simple,112,Yes,
116,Social,Disregard for freedom of association,Works Council,Does your company have a works council or employee representative committee (if these are legal according to local law)?,,Yes/No,,,Simple,112,Yes,
117,Social,Disregard for freedom of association,Freedom of Association Other Measures,Have other measures been taken to prevent the disregard for freedom of association?,,Yes/No,,,Simple,112,Yes,
118,Social,Disregard for freedom of association,Freedom of Association Other Measures Description,Please list other measures (if available) you take to prevent the disregard for freedom of association.,,String,,,,117,Yes,
119,Social,Unequal treatment of employment,Unequal Treatment of Employment,"Does your company treat employees unequally because of national/ethnic origin, social origin, health status, disability, sexual orientation, age, gender, political opinion, religion or belief?",,Yes/No,,,,,,
120,Social,Unequal treatment of employment,Unequal Treatment of Employment Prevention Measures,Does your company take measures to prevent unequal treatment of employment?,,Yes/No,,,,120,Yes,
121,Social,Unequal treatment of employment,Diversity and Inclusion Role,Is a member of your company's management responsible for promoting diversity in the workforce and among business partners?,,Yes/No,,,,120,Yes,
122,Social,Unequal treatment of employment,Prevention of Mistreatments,"Does your company's management promote a work environment free from physical, sexual, mental abuse, threats or other forms of mistreatment? (e.g. diversity program)",,Yes/No,,,,120,Yes,
123,Social,Unequal treatment of employment,Unequal Treatment Prevention Training,Has your company introduced mandatory offers and training for employees that target unequal treatment of employment?,,Yes/No,,,Simple,120,Yes,
124,Social,Unequal treatment of employment,Equal Opportunities Officer,Do you have an equal opportunities officer or a similar function?,,Yes/No,,,,120,Yes,
125,Social,Unequal treatment of employment,Equal Employment Policy,"Does your company have an equal employment policy? If yes, please share the policy with us.",,Yes/No,,,Simple,120,Yes,
126,Social,Unequal treatment of employment,Unequal Treatment Prevention Other Measures,Have other measures been taken to prevent unequal treatment of employment?,,Yes/No,,,Simple,120,Yes,
127,Social,Unequal treatment of employment,Unequal Treatment Prevention Other Measures Description,Please list other measures (if available) you take to prevent unequal treatment of employment.,,String,,,,126,Yes,
128,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Harmful Soil Change,Is there a risk of your company causing a harmful soil change?,,Yes/No,,,,,,
129,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Degradation,Does your company have measures in place to prevent the degradation of the local soil structure caused by the use of heavy machinery?,,Yes/No,,,,128,Yes,
130,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Erosion,Does your company have measures in place to prevent soil erosion caused by deforestation or overgrazing?,,Yes/No,,,,128,Yes,
131,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil-borne Diseases,Does your company have measures in place to prevent the development of soil-borne diseases and pests to maintain soil fertility?,,Yes/No,,,,128,Yes,
132,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Contamination,Does your company have measures in place to prevent soil contamination caused by antibiotics and toxins?,,Yes/No,,,,128,Yes,
133,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Salinization,Does your company have measures in place to prevent soil salinization?,,Yes/No,,,,128,Yes,
134,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Protection Policy,"Does your company have a soil protection policy? If yes, please share the policy with us.",,Yes/No,,,Simple,128,Yes,
135,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Soil Spot Checks,Does your company carry out regular spot checks of the soils with corresponding documentation?,,Yes/No,,,Simple,128,Yes,
136,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Harmful Water Pollution,Is there a risk of your company causing harmful water pollution?,,Yes/No,,,,,,
137,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Fertilizers or Pollutants,Does your company use fertilizers or pollutants such as chemicals or heavy metals?,,Yes/No,,,,136,Yes,
138,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Waste Water Filtration,Does your company have waste water filtration systems?,,Yes/No,,,,136,Yes,
139,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Protection Policy,"Does your company have a water protection policy? If yes, please share the policy with us. ",,Yes/No,,,Simple,136,Yes,
140,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Spot Checks,Does your company carry out regular spot checks of the waters with corresponding documentation?,,Yes/No,,,Simple,136,Yes,
141,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Harmful Air Pollution,Is there a risk of harmful air pollution caused by your company?,,Yes/No,,,,,,
142,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Air Filtration,Does your company have air filtration systems?,,Yes/No,,,,141,Yes,
143,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Air Quality Protection Policy,"Does your company have an air quality protection policy? If yes, please share the policy with us. ",,Yes/No,,,Simple,141,Yes,
144,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Air Quality Spot Checks,Does your company conduct regular spot checks of air quality with corresponding documentation?,,Yes/No,,,Simple,141,Yes,
145,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Harmful Noise Emission,Is there a risk of harmful noise emission caused by your company?,,Yes/No,,,,,,
146,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Reduction of Noise Emissions,Has your company implemented structural measures to reduce noise emissions?,,Yes/No,,,,145,Yes,
147,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Noise Reduction Policy,"Does your company have a noise reduction policy? If yes, please share the policy with us. ",,Yes/No,,,Simple,145,Yes,
148,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Noise Emissions Spot Checks,Does your company carry out regular spot checks of noise emissions with corresponding documentation?,,Yes/No,,,Simple,145,Yes,
149,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Excessive Water Consumption,Is there a risk of excessive water consumption in your company?,,Yes/No,,,,,,
150,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Saving Measures,Does your company take measures to prevent excessive water consumption?,,Yes/No,,,,149,Yes,
151,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Saving Measures Name,"If yes, which ones?",,String,,,,150,Yes,
152,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Use Reduction Policy,"Does your company have a water use reduction policy? If yes, please share the policy with us. ",,Yes/No,,,Simple,149,Yes,
153,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Consumption Spot Checks,Does your company carry out regular spot checks of water consumption with corresponding documentation?,,Yes/No,,,Simple,149,Yes,
154,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Water Sources,Does your company use water sources that are important for the local population or agriculture?,,Yes/No,,,,149,Yes,
155,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Contamination Prevention Measures,"Have other measures been taken to prevent the risk of harmful soil change, water pollution, air pollution, harmful noise emission or excessive water consumption that: Significantly affects the natural basis for food production; Denies a person access to safe drinking water; Impedes or destroys a person's access to sanitary facilities; Harms the health of any person",,Yes/No,,,Simple,,,
156,Social,"Contamination of soil/water/air, noise emissions, excessive water consumption",Contamination Prevention Measures Description,"Please list any other measures (if available) you are taking to prevent the risk of harmful soil change, water pollution, air pollution, harmful noise emission or excessive water consumption that: Significantly affects the natural basis for food production; Denies a person access to safe drinking water; Impedes or destroys a person's access to sanitary facilities; Harms the health of any person",,String,,,,155,Yes,
157,Social,"Unlawful eviction/deprivation of land, forest and water",Unlawful Eviction and Taking of Land,"Is your company, as a result of the acquisition, development, or other use of land, forests, or bodies of water, which secures a person's livelihood, at risk of carrying out: Unlawful evictions; Unlawful claims of land, forests, or water?",,Yes/No,,,,,,
158,Social,"Unlawful eviction/deprivation of land, forest and water",Unlawful Eviction and Taking of Land - Risk,"If so, what exactly is the risk?",,String,,,,157,Yes,
159,Social,"Unlawful eviction/deprivation of land, forest and water",Unlawful Eviction and Taking of Land - Measures,"Has your company developed and implemented measures that avoid, reduce, mitigate, or remedy direct and indirect negative impacts on the land, and natural resources of indigenous peoples and local communities?",,Yes/No,,,,,,
160,Social,"Unlawful eviction/deprivation of land, forest and water",Model Contracts for Land Purchase or Leasing,Does your company have model contracts for buying or leasing land?,,Yes/No,,,Simple,159,Yes,
161,Social,"Unlawful eviction/deprivation of land, forest and water",Involvement of Locals in Decision-Making,Are local communities and stakeholders involved in decision-making processes?,,Yes/No,,,,159,Yes,
162,Social,"Unlawful eviction/deprivation of land, forest and water",Governance of Tenure Policy,Does your company have a policy for the governance of tenure?,,Yes/No,,,Simple,159,Yes,
163,Social,"Unlawful eviction/deprivation of land, forest and water",Unlawful Eviction and Taking of Land - Other Measures,"Have other measures been taken to avoid, reduce, mitigate, or remedy direct and indirect adverse impacts on the lands and natural resources of indigenous peoples and local communities?",,Yes/No,,,Simple,159,Yes,
164,Social,"Unlawful eviction/deprivation of land, forest and water",Unlawful Eviction and Taking of Land - Other Measures Description,"Please list other measures (if available) you take to avoid, reduce, mitigate, or remedy direct and indirect adverse impacts on the lands and natural resources of indigenous peoples and local communities.",,String,,,,163,Yes,
165,Social,"Unlawful eviction/deprivation of land, forest and water",Voluntary Guidelines on the Responsible Governance of Tenure,Have you implemented the voluntary guidelines on the responsible governance of tenure in your company?,,Yes/No,,,,,,
166,Social,Use of private/public security forces with disregard for human rights,Use of Private Public Security Forces,Does your company use private and/or public security forces to protect company projects?,,Yes/No,,,,,,
167,Social,Use of private/public security forces with disregard for human rights,Use of Private Public Security Forces and Risk of Violation of Human Rights,"Does your company have measures in place to prevent your security forces from: Violating the prohibition of torture or cruel, inhuman, or degrading treatment; Damaging life or limbs; Impairing the right to exercise the freedom of association?",,Yes/No,,,,166,Yes,
168,Social,Use of private/public security forces with disregard for human rights,Instruction of Security Forces,Do you have adequate instructions for the security forces?,,Yes/No,,,Simple,167,Yes,
169,Social,Use of private/public security forces with disregard for human rights,Human Rights Training,Are security forces trained on human rights?,,Yes/No,,,Simple,167,Yes,
170,Social,Use of private/public security forces with disregard for human rights,State Security Forces,Have the state security forces been checked on former human right violations before they were commissioned? (Only in the case of state security forces) ,,Yes/No/NA,,,,167,Yes,
171,Social,Use of private/public security forces with disregard for human rights,Private Security Forces,Have the contractual relationships with private security forces been designed in a way that they comply with the applicable legal framework? (Only in the case of private security forces),,Yes/No/NA,,,Simple,167,Yes,
172,Social,Use of private/public security forces with disregard for human rights,Use of Private Public Security Forces Measures,Have other measures been taken to prevent the use of private and/or public security forces that violate human rights?,,Yes/No,,,Simple,167,Yes,
173,Social,Use of private/public security forces with disregard for human rights,Use of Private Public Security Forces Measures Description,Please list any other measures you are taking to prevent the use of private and/or public security forces that violate human rights.,,FreeText,,,,172,Yes,
174,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Waste Handling,Does your company deal with mercury or mercury waste as part of its business model?,,Yes/No,,,,,,
