Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
11,Allgemein,,Ausrichtung auf die UN SDGs und aktives Verfolgen,"Wie steht das Unternehmen in Einklang mit den 17 UN-Zielen für nachhaltige Entwicklung? Welche dieser Ziele verfolgt das Unternehmen aktiv, entweder durch ihre Geschäftstätigkeit oder durch die Unternehmensführung?",String,,,,0,Yes,
12,Allgemein,,Ausschlusslisten auf Basis von ESG Kriterien,"Führt das Unternehmen Ausschlusslisten? Von besonderem Interesse sind Listen die Ausschlusskriterien, die einen Bezug zu den Bereichen E, S oder G haben.",Yes/No,,,,0,Yes,
12.1,Allgemein,,Ausschlusslisten,Bitte nennen Sie die Ausschlusslisten auf Basis von ESG Kriterien.,String,,,,12,Yes,
13,Allgemein,,Ökologische/soziale Führungsstandards oder -prinzipien,Hat sich das Unternehmen zu ökologischen/sozialen Führungsstandards oder Prinzipien verpflichtet?,Yes/No,,,,0,Yes,
13.1,Allgemein,,Anreizmechanismen für das Management (Umwelt),Wie spiegeln sich die Anreizmechanismen für den Bereich Umwelt in der jährlichen Zielsetzung für das Management wieder? Bitte geben Sie die aktuellen Verpflichtungen an.,Single-Select Dropdown,"Nein; Ja, Aufsichtsrat; Ja, Geschäftsleitung; Ja, Aufsichtsrat und Geschäftsleitung",,,13,Yes,
13.2,Allgemein,,Anreizmechanismen für das Management (Soziales),Wie spiegeln sich die Anreizmechanismen für den Bereich Soziales in der jährlichen Zielsetzung für das Management wieder? Bitte geben Sie die aktuellen Verpflichtungen an.,Single-Select Dropdown,"Nein; Ja, Aufsichtsrat; Ja, Geschäftsleitung; Ja, Aufsichtsrat und Geschäftsleitung",,,13,Yes,
14,Allgemein,,ESG-bezogene Rechtsstreitigkeiten,Ist das Unternehmen in laufende bzw. war das Unternehmen in den letzten 3 Jahren in abgeschlossenen Rechtsstreitigkeiten im Zusammenhang mit ESG involviert?,Yes/No,,,,0,Yes,
14.1,Allgemein,,Rechtsstreitigkeiten mit Bezug zu E,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""E""",Yes/No,,,,14,Yes,
14.1.1,Allgemein,,Status zu E,"Sind die Rechtsstreitigkeiten mit Bezug zu ""E"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen; geklärt,,,14.1,Yes,
14.1.2,Allgemein,,Einzelheiten zu den Rechtsstreitigkeiten zu E,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,String,,,,14.1,Yes,
14.2,Allgemein,,Rechtsstreitigkeiten mit Bezug zu S,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""S""",Yes/No,,,,14,Yes,
14.2.1,Allgemein,,Status zu S,"Sind die Rechtsstreitigkeiten mit Bezug zu ""S"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen; geklärt,,,14.2,Yes,
14.2.2,Allgemein,,Einzelheiten zu den Rechtsstreitigkeiten zu S,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,String,,,,14.2,Yes,
14.3,Allgemein,,Rechtsstreitigkeiten mit Bezug zu G,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""G""",Yes/No,,,,14,Yes,
14.3.1,Allgemein,,Status zu G,"Sind die Rechtsstreitigkeiten mit Bezug zu ""G"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen; geklärt,,,14.3,Yes,
14.3.2,Allgemein,,Einzelheiten zu den Rechtsstreitigkeiten zu G,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,String,,,,14.3,Yes,
15,Allgemein,,ESG-Rating,Hat das Unternehmen bereits ein ESG-Rating einer anerkannten Ratingagentur?,Yes/No,,,,0,Yes,
15.1,Allgemein,,Agentur,Welche Rating Agentur hat das Rating durchgeführt?,String,,,,15,Yes,
15.2,Allgemein,,Ergebnis,Wie lautet das Rating (Ratingbericht bitte anfügen)?,String,,,Simple,15,Yes,
15.3,Allgemein,,Kritische Punkte,Was waren die kritischen Punkte beim ESG-Rating?,String,,,,15,Yes,
16,Allgemein,,Nachhaltigkeitsbezogenen Anleihen,"Hat das Unternehmen „grüne“, „soziale“ und/oder „nachhaltige“ Schuldtitel begeben oder Sustainability Linked Debt („SLD“) emittiert?",Yes/No,,,,0,Yes,
16.1,Allgemein,,Ausstehende Emissionen,Bitte geben Sie Details zu den ausstehenden Emissionen für das letzte Jahr der Berichterstattung an (in Mio €).,"Custom - Sollte in mehrere Fragen aufgebrochen werden => Ausstehende Emissionen einmal für ""Nachhaltige Emissionen"" und für ""SLD"" => Dann kann beides jeweils ein DecimalField mit € als (feste) unit sein",,,,16,Yes,
17,Allgemein,,"Wichtigste E-, S- und G-Risiken und Bewertung","Welches sind die wichtigsten von der Gruppe identifizierten E-, S- und G-Risiken? Bitte geben Sie die Details / Bewertung der identifizierten Risiken an.",String,,,,0,Yes,
18,Allgemein,,Hindernisse beim Umgang mit ESG-Bedenken,Welche grundsätzlichen Hindernisse bestehen für das Unternehmen bei der Berücksichtigung von ESG-Belangen?,String,,,,0,Yes,
19,Umwelt,Treibhausgasemissionen,Treibhausgas-Berichterstattung und Prognosen,"Welche Treibhausgasinformationen werden derzeit auf Unternehmens-/Konzernebene berichtet und prognostiziert? Bitte geben Sie die Scope1, Scope 2 und Scope 3 Emissionen für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an (in tCO2-Äquiv.).",Custom - Rolling Window,,,,0,Yes,
20,Umwelt,Treibhausgasemissionen,"Treibhausgas-Emissionsintensität der Unternehmen, in die investriert wird","THG-Emissionsintensität der Unternehmen, in die investiert wird. Scope 1 + Scope 2 Treibhausgasemissionen ./. Umsatz in Millionen EUR Scope 1 + Scope 2 Treibhausgasemissionen ./. Unternehmensgröße in Mio. EUR",String,,,,0,Yes,
21,Umwelt,Treibhausgasemissionen,Strategie und Ziele zur Reduzierung von Treibhausgas-Emissionen,"Welchen Entwicklungspfad bzgl. der (Reduktion von) Treibhausgasemissionen verfolgt das Unternehmen. Gibt es einen Zeitplan bzw. konkrete Ziele? Und wie plant das Unternehmen, diesen Kurs zu erreichen? Bitte erläutern Sie, in welchem Bezug dieser Entwicklungspfad zu dem auf dem Pariser Abkommen basierenden Kurs steht.",String,,,,0,Yes,
22,Umwelt,,Produkte zur Verringerung der Umweltbelastung,"Entwickelt, produziert oder vertreibt das Unternehmen Produkte, die die Umweltbelastung verringern?",Yes/No,,,,0,Yes,
22.1,Umwelt,,Verringerungen der Umweltbelastung,"Bitte beschreiben Sie möglichst genau, wie die Produkte die Umweltbelastung reduzieren.",String,,,,22,Yes,
23,Umwelt,,Ökologischer Mindest-Standard für Produktionsprozesse,"Verfügt das Unternehmen über interne Richtlinien, die einen Mindestumweltstandard im Produktionsprozess sicherstellen?",Yes/No,,,,0,Yes,
24,Umwelt,Energieverbrauch,Berichterstattung Energieverbrauch,"Bitte geben Sie den Energieverbrauch (in GWh), sowie den Verbrauch erneuerbaren Energien (%) und, falls zutreffend, die Erzeugung erneuerbaren Energien (%) für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
25,Umwelt,Energieverbrauch,Unternehmens/Gruppen Strategie bzgl Energieverbrauch,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,String,,,,0,Yes,
26,Umwelt,Energieeffizienz Immobilienanlagen,Berichterstattung Energieverbrauch von Immobilienvermögen,"Bitte geben Sie den Anteil an energieeffizienten Immobilienanlagen (%) für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
27,Umwelt,Energieeffizienz Immobilienanlagen,Unternehmens/Gruppen Strategie bzgl energieeffizienten Immobilienanlagen,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,String,,,,0,Yes,
28,Umwelt,Wasserverbrauch,Berichterstattung Wasserverbrauch,"Bitte geben Sie den Wasserverbrauch (in l), sowie die Emissionen in Wasser (in Tonnen) für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
29,Umwelt,Wasserverbrauch,Unternehmens/Gruppen Strategie bzgl Wasserverbrauch,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,String,,,,0,Yes,
30,Umwelt,Abfallproduktion,Berichterstattung Abfallproduktion,"Bitte geben Sie die gesamte Abfallmenge (in Tonnen), sowie den Anteil (%) der gesamten Abfallmenge, der recyclet wird, sowie den Anteil (%) gefährlicher Abfall der gesamten Abfallmenge für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
31,Umwelt,Abfallproduktion,Unternehmens/Gruppen Strategie bzgl Abfallproduktion,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,String,,,,0,Yes,
32,Umwelt,Abfallproduktion,Recycling im Produktionsprozess,"Bitte geben Sie an, wie hoch der Anteil an Recyclaten (bereits
recyceltes wiederverwertetes Material) im Produktionsprozess für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre.",Custom - Rolling Window,,,,0,Yes,
33,Umwelt,Gefährliche Abfälle,Gefährlicher Abfall,"Wie wird in dem Unternehmen während der Produktion und Verarbeitung mit gefährlichen Abfällen (brennbar, reaktiv, giftig, radioaktiv) umgegangen?",String,,,,0,Yes,
34,Umwelt,Biodiversität,Negative Aktivitäten für die biologische Vielfalt,"Hat das Unternehmen Standorte / Betriebe in oder in der Nähe von biodiversitätssensiblen Gebieten, in denen sich die Aktivitäten des Unternehmens negativ auf diese Gebiete auswirken?",Yes/No,,,,0,Yes,
34.1,Umwelt,Biodiversität,Negative Maßnahmen für die biologische Vielfalt,"Bitte erläutern Sie Aktivitäten, die sich negativ auf die Biodiversität auswirken. Teilen Sie bitte auch den von der Gruppe/Unternehmen definierte Entwicklungspfad für den Umgang mit diesen Maßnahmen (Zeitplan und Ziel - falls vorhanden) mit uns und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.",String,,,,34,Yes,
35,Umwelt,Biodiversität,Positive Aktivitäten für die biologische Vielfalt,"Hat das Unternehmen Standorte / Betriebe in oder in der Nähe von biodiversitätssensiblen Gebieten, in denen sich die Aktivitäten des Unternehmens positiv auf diese Gebiete auswirken?",Yes/No,,,,0,Yes,
35.1,Umwelt,Biodiversität,Positive Maßnahmen für die biologische Vielfalt,"Bitte erläutern Sie Aktivitäten, die sich positiv auf die Biodiversität auswirken. Teilen Sie bitte auch den von der Gruppe/Unternehmen definierte Entwicklungspfad für die Weiterentwicklung dieser Maßnahmen (Zeitplan und Ziel - falls vorhanden) mit uns und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.",String,,,,35,Yes,
36,Umwelt,Fossile Brennstoffe,Einnahmen aus fossilen Brennstoffen,"Erzielt das Unternehmen einen Teil seiner Einnahmen aus Aktivitäten im Bereich fossiler Brennstoffe und/oder besitzt das Unternehmen Immobilien, die an der Gewinnung, Lagerung, dem Transport oder der Herstellung fossiler Brennstoffe beteiligt sind?",Yes/No,,,,0,Yes,
36.1,Umwelt,Fossile Brennstoffe,Berichterstattung Einnahmen aus fossilen Brennstoffen,"Bitte geben Sie den Anteil (%) der Einnahmen aus fossilen Brennstoffen aus den gesamten Einnahmen für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,36,Yes,
37,Umwelt,Taxonomie,Taxonomie Berichterstattung,Wird der EU-Taxonomie Bericht auf Basis NFRD oder auf Basis CSRD erstellt?,Single-Select Dropdown,NFRD; CSRD,,,0,Yes,
38,Umwelt,Taxonomie,EU Taxonomie Kompass Aktivitäten,Welche Aktivitäten gem. dem EU Taxonomie-Kompass übt das Unternehmen aus?,Multi-Select Dropdown,EuTaxonomyActivityOptions,,,0,Yes,
39,Umwelt,Taxonomie,Umsatz/Investitionsaufwand für nachhaltige Aktivitäten,"Wie hoch ist der Umsatz/Investitionsaufwand des Unternehmens aus nachhaltigen Aktivitäten (Mio. €) gemäß einer Definition der EU-Taxonomie? Bitte machen Sie Angaben zu den betrachteten Sektoren und gegebenenfalls zu den Annahmen bzgl. Taxonomie-konformen (aligned) Aktivitäten für das aktuelle Kalenderjahr, die letzten drei Jahren sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window mit vorangestellter Freitext (oder List of Strings) Frage zu den Sektoren,,,,0,Yes,
40,Soziales,,Änderungen Unternehmensstruktur,"Gab es kürzlich eine Veränderung im Unternehmen / in der Gruppe (Umstrukturierung, Verkauf oder Übernahme)?",Yes/No,,,,0,Yes,
40.1,Soziales,,Anzahl der betroffenen Mitarbeiter,Bitte teilen Sie mit uns wieviele unbefristete Verträge es insgesamt in Deutschland und in der Gesamtgruppe gibt und wieviele unbefristete Verträge von der Änderung betroffen sind (Verkauf oder Akquisition).,Custom - Tabellencomponent?,,,,40,Yes,
40.2,Soziales,,Auswirkungen auf Anteil befrister Verträge und Fluktuation,Bitte geben Sie die Anzahl der befristeten Verträge sowie die Fluktuation (%) für die letzten drei Jahre an.,Custom - Rolling Window,,,,40,Yes,
41,Soziales,,Sicherheitsmaßnahmen für Mitarbeiter,"Welche Maßnahmen werden ergriffen, um die Gesundheit und Sicherheit der Mitarbeiter des Unternehmens zu verbessern?",String,,,,0,Yes,
42,Soziales,,Unfallrate,Wie hoch war die Häufigkeitsrate von Arbeitsunfällen mit Zeitverlust für die letzten drei Jahre?,Custom,,,,0,Yes,
43,Soziales,,Budget für Schulung/Ausbildung,"Bitte geben Sie an wie hoch das Budget ist, das pro Mitarbeiter und Jahr für Schulungen/Fortbildungen in den letzten drei Jahren ausgegeben wurde.",Custom,,,,0,Yes,
44,Soziales,Einkommensgleichheit,Überwachung der Einkommensungleichheit,"Bitte geben Sie das unbereinigte geschlechtsspezifische Lohngefälle, das Einkommensungleichheitsverhältnis, sowie das CEO-Einkommensungleichheitsverhältnis für die letzten drei Jahre an.",Custom,,,,0,Yes,
45,Soziales,Einkommensgleichheit,Maßnahmen zur Verbesserung der Einkommensungleichheit,"Wie überwacht das Unternehmen die Einkommens(un)gleichheit und welche Maßnahmen wurden ergriffen, um die Einkommensungleichheit abzustellen?",String,,,,0,Yes,
46,Soziales,Geschlechterdiversität,Geschlechterdiversität auf Vorstands- und Führungsebene,Geben Sie bitte an wieviele Mitglieder die Geschäftsführung zählt und wieviele Personen eine Top-Management Position innehaben. Wieviele davon sind Frauen?,Custom,,,,0,Yes,
47,Soziales,Geschlechterdiversität,Definition Top-Management,"Bitte geben Sie Ihre Definition von ""Top-Management"".",String,,,,0,Yes,
48,Soziales,Geschlechterdiversität,Einhaltung rechtlicher Vorgaben,"Welche Maßnahmen wurden ergriffen, um das geltende Recht in Bezug auf die Geschlechterdiversität von Exekutivinstanzen einzuhalten?",String,,,,0,Yes,
49,Soziales,Audit,Audits zur Einhaltung von Arbeitsstandards,"Führt das Unternehmen interne oder externe Audits durch, um die Einhaltung der Arbeitsnormen durch das Unternehmen zu bewerten?",Yes/No,,,,0,Yes,
49.1,Soziales,Audit,Art des Audits,PLACEHOLDER,Single-Select Dropdown,Interne Anhörung; Prüfung durch Dritte; Sowohl intern als auch von Drittanbietern,,,49,Yes,
49.2,Soziales,Audit,Audit Ergebnisse,Bitte geben Sie Informationen über das letzte Audit an.,String,,,,49,Yes,
50,Unternehmensführung/ Governance,,Führungsstruktur,Bitte dokumentieren Sie die Führungsstruktur des Unternehmens.,Custom,,,,0,Yes,
51,Unternehmensführung/ Governance,,Wirtschaftsprüfer,,String,,,,0,Yes,
52,Unternehmensführung/ Governance,,CEO/Vorsitzender,Hat sich das Unternehmen im aktuellen Jahr der Berichterstattung von CEO/Vorsitzenden getrennt?,Yes/No,,,,0,Yes,
52.1,Unternehmensführung/ Governance,,Amtszeit,Wieviele Jahre war der/die CEO/Vorsitzende(r) im Amt?,String,,,,52,Yes,
53,Unternehmensführung/ Governance,,Einbeziehung von Stakeholdern,"Gibt es einen kontinuierlichen Prozess des Dialogs mit den Stakeholdern des Unternehmens? Bitte geben Sie Einzelheiten zu einem solchen Prozess an, z.B. eine Umfrage zur Bewertung der Mitarbeiter- oder Kundenzufriedenheit. Falls zutreffend, teilen Sie uns bitte die wichtigsten Schlussfolgerungen mit.",Yes/No,,,,0,Yes,
53.1,Unternehmensführung/ Governance,,Prozess der Einbeziehung von Stakeholdern,"Bitte geben Sie Einzelheiten zu einem solchen Prozess an, z.B. eine Umfrage zur Bewertung der Mitarbeiter- oder Kundenzufriedenheit. Falls zutreffend, teilen Sie uns bitte die wichtigsten Schlussfolgerungen mit.",String,,,,53,Yes,
53.2,Unternehmensführung/ Governance,,Mechanismen zur Ausrichtung auf Stakeholder,"Welche Mechanismen gibt es derzeit, um sicherzustellen, dass die Stakeholder im besten Interesse des Unternehmens handeln? Bitte erläutern Sie (falls zutreffend) die Beteiligungsmechanismen, verschiedene Anreizsysteme usw.",String,,,,53,Yes,
54,Unternehmensführung/ Governance,,Veröffentlichte Unternehmensrichtlinien,"Welche Richtlinien sind im Unternehmen veröffentlicht? Bitte nennen Sie weitere wichtige Richtlinien, falls diese nicht angegeben sind.",Multi-Select Dropdown,Anti-Korruption; Verhaltenskodex; Interessenkonflikte; Datenschutz; Diversität & Inklusion; Faire Behandlung von Kunden; Zwangsarbeit; Gesundheit und Sicherheit; Mgt von Umweltgefahren; Verantwortungsvolles Marketing; Whistleblowing; other,,,0,Yes,
55,Unternehmensführung/ Governance,,ESG-Kriterien und Überwachung der Lieferanten,"Wendet das Unternehmen ESG-Kriterien bei der Auswahl seiner Lieferanten an, einschließlich einer Bestandsaufnahme der Lieferkette?",Yes/No,,,,0,Yes,
55.1,Unternehmensführung/ Governance,,Auswahlkriterien,"Bitte nennen Sie die Auswahlkriterien und erläutern Sie, wie diese Kriterien im Laufe der Zeit überwacht/geprüft werden. Bezieht das Unternehmen beispielsweise Rohstoffe aus Gebieten, in denen umstrittene Abholzungsaktivitäten stattfinden (z.B. Soja, Palmöl, Tropenholz, Holz oder industrielle Viehzucht)?",String,,,,55,Yes,
