Field Identifier,Category,Sub-Category,Field Name,Tooltip,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
7.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Taxonomiefähige CapEx,Geben Sie den taxonomiefähigen Teilbetrag der Gesamt-CapEx in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
7.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Taxonomiekonforme CapEx,Geben Sie den taxonomiekonformen Teilbetrag der taxonomiefähigen CapEx in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
7.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Anteil taxonomiefähiger CapEx,Geben Sie den prozentualen Anteil der taxonomiefähigen Umsätze an.,,Percentage,,,,,,
7.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Anteil taxonomiekonformer CapEx,Geben Sie den prozentualen Anteil der taxonomiekonformen Umsätze an.,,Percentage,,,,,,
7.5,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Taxonomiebezogene CapEx-Planung,Hat das Unternehmen eine taxonomiebezogene CapEx-Planung? ,,Yes/No,,,,,,
7.6,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Geplante taxonomiefähige CapEx in 5 Jahren,Welcher taxonomiefähige prozentuale Anteil an der Gesamt-CapEx wird im Rahmen der CapEx-Planung voraussichtlich in 5 Jahren erreicht werden? ,,Percentage,,,,7.5,Yes,
7.7,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Geplante taxonomiekonforme CapEx in 5 Jahren,Welcher taxonomiekonforme prozentuale Anteil an der Gesamt-CapEx wird im Rahmen der CapEx-Planung voraussichtlich in 5 Jahren erreicht werden? ,,Percentage,,,,7.5,Yes,
8.1.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktivität im Sektor ""Fossile Brennstoffe""","Ist das Unternehmen im Sektor ""Fossile Brennstoffe (Kohle, Gas, Öl)"" aktiv?",,Yes/No,,,,,,
8.1.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktueller prozentualer Umsatzanteil im Sektor ""Fossile Brennstoffe""","Welcher prozentuale Anteil am Gesamtumsatz ist auf den Sektor ""Fossile Brennstoffe (Kohle, Gas, Öl)"" zurückzuführen?",,Percentage,,,,8.1.1,Yes,
8.1.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Fossile Brennstoffe"" in 2030","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2030 voraussichtlich auf den Sektor ""Fossile Brennstoffe (Kohle, Gas, Öl)"" zurückzuführen sein?",,Percentage,,,,8.1.1,Yes,
8.1.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Fossile Brennstoffe"" in 2040","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2040 voraussichtlich auf den Sektor ""Fossile Brennstoffe (Kohle, Gas, Öl)"" zurückzuführen sein?  Optionale Angabe.",,Percentage,,,,8.1.1,Yes,
8.2.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktivität im Sektor ""Herstellung von Chemikalien""","Ist das Unternehmen im Sektor ""Herstellung von Chemikalien"" aktiv?",,Yes/No,,,,,,
8.2.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktueller prozentualer Umsatzanteil im Sektor ""Herstellung von Chemikalien""","Welcher prozentuale Anteil am Gesamtumsatz ist auf den Sektor ""Herstellung von Chemikalien"" zurückzuführen?",,Percentage,,,,8.2.1,Yes,
8.2.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Herstellung von Chemikalien"" in 2030","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2030 voraussichtlich auf den Sektor ""Herstellung von Chemikalien"" zurückzuführen sein?",,Percentage,,,,8.2.1,Yes,
8.2.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Herstellung von Chemikalien"" in 2040","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2040 voraussichtlich auf den Sektor ""Herstellung von Chemikalien"" zurückzuführen sein?  Optionale Angabe.",,Percentage,,,,8.2.1,Yes,
8.3.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktivität im Sektor ""Umstrittene Waffen""","Ist das Unternehmen im Sektor ""Umstrittene Waffen"" aktiv?",,Yes/No,,,,,,
8.3.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktueller prozentualer Umsatzanteil im Sektor ""Umstrittene Waffen""","Welcher prozentuale Anteil am Gesamtumsatz ist auf den Sektor ""Umstrittene Waffen"" zurückzuführen?",,Percentage,,,,8.3.1,Yes,
8.3.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Umstrittene Waffen"" in 2030","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2030 voraussichtlich auf den Sektor ""Umstrittene Waffen"" zurückzuführen sein?",,Percentage,,,,8.3.1,Yes,
8.3.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Umstrittene Waffen"" in 2040","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2040 voraussichtlich auf den Sektor ""Umstrittene Waffen"" zurückzuführen sein?  Optionale Angabe.",,Percentage,,,,8.3.1,Yes,
8.4.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktivität im Sektor ""Tabakanbau und -verarbeitung""","Ist das Unternehmen im Sektor ""Tabakanbau und -verarbeitung"" aktiv?",,Yes/No,,,,,,
8.4.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Aktueller prozentualer Umsatzanteil im Sektor ""Tabakanbau und -verarbeitung""","Welcher prozentuale Anteil am Gesamtumsatz ist auf den Sektor ""Tabakanbau und -verarbeitung"" zurückzuführen?",,Percentage,,,,8.4.1,Yes,
8.4.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Tabakanbau und -verarbeitung"" in 2030","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2030 voraussichtlich auf den Sektor ""Tabakanbau und -verarbeitung"" zurückzuführen sein?",,Percentage,,,,8.4.1,Yes,
8.4.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,"Geplanter prozentualer Umsatzanteil im Sektor ""Tabakanbau und -verarbeitung"" in 2040","Welcher prozentuale Anteil am Gesamtumsatz wird im Jahr 2040 voraussichtlich auf den Sektor ""Tabakanbau und -verarbeitung"" zurückzuführen sein?  Optionale Angabe.",,Percentage,,,,8.4.1,Yes,
9,Allgemein,ESG-Rating und Zertifizierung,ESG-Rating,Hat das Unternehmen bereits ein ESG-Rating einer anerkannten Ratingagentur? Bitte Bericht hochladen falls vorhanden.,,Yes/No,,,Simple,,,
9.1,Allgemein,ESG-Rating und Zertifizierung,Ratingagentur,Welche Rating Agentur hat das Rating durchgeführt?,,String,,,,9,Yes,
9.2,Allgemein,ESG-Rating und Zertifizierung,Ergebnis des ESG-Ratings,Wie lautet das Rating?,,String,,,,9,Yes,
10.1,Allgemein,ESG-Rating und Zertifizierung,ISO 14001,Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 14001 Zertifizierung (Internationaler Standard für betriebliches Umweltmanagement)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 14001 Zertifizierung?,Yes/No,,,Simple,,,
10.2,Allgemein,ESG-Rating und Zertifizierung,ISO 45001,Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 45001 Zertifizierung (Internationaler Standard für Arbeitssicherheit)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 45001 Zertifizierung?,Yes/No,,,Simple,,,
10.3,Allgemein,ESG-Rating und Zertifizierung,ISO 27001,Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 27001 Zertifizierung (Internationaler Standard für Datensicherheit)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 27001 Zertifizierung?,Yes/No,,,Simple,,,
10.4,Allgemein,ESG-Rating und Zertifizierung,ISO 50001,Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 50001 Zertifizierung (Energiemanagementsystem)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 50001 Zertifizierung?,Yes/No,,,Simple,,,
10.5,Allgemein,ESG-Rating und Zertifizierung,ISO 14040 (i.V.m. 14044),Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 14040 Zertifizierung in Verbindung mit einer ISO 14044 Zertifizierung (ISO 14040 i.V.m. 14044 Internationaler Standard für Ökobilanzierung)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 14040 Zertifizierung in Verbindung mit einer ISO 14044 Zertifizierung?,Yes/No,,,Simple,,,
10.6,Allgemein,ESG-Rating und Zertifizierung,ISO 14064,Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine ISO 14064 Zertifizierung (Internationaler Standard für Treibhausgasbilanzierung und Verifizierung)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.,Hat das Unternehmen eine ISO 14064 Zertifizierung?,Yes/No,,,Simple,,,
10.7,Allgemein,ESG-Rating und Zertifizierung,EMAS,"Hat das Unternehmen oder seine wesentlichen Produktionsstandorte eine EMAS Zertifizierung (Eco-Management and Audit Scheme, Europäisches Umweltmanagementsystem)? Optional: Bitte teilen Sie das entsprechende Zertifikat mit uns.",Hat das Unternehmen eine EMAS Zertifizierung?,Yes/No,,,Simple,,,
11,Allgemein,UN Global Compact Prinzipien,Mechanismen zur Überwachung der Einhaltung der UNGCP,"Verfügt das Unternehmen über Prozesse und Compliance-Mechanismen, um die Einhaltung der Prinzipien des UN Global Compact zu überwachen?",,Yes/No,,,,,,
11.1,Allgemein,UN Global Compact Prinzipien,Richtlinien zur Einhaltung der UNGCP,"Bitte teilen Sie die Richtlinien mit uns die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der UN Global Compact Prinzipien (alle vier Säulen) überwacht.","Richtlinien die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der UN Global Compact Prinzipien überwacht.",Multiple Documents With Descriptions,,,,11,Yes,
11.2,Allgemein,UN Global Compact Prinzipien,Erklärung der Einhaltung der UNGCP,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.","Erklärung, dass keine Verstöße gegen diese Grundsätze vorliegen",FreeText,,,,11,Yes,
12,Allgemein,OECD Leitsätze,Mechanismen zur Überwachung der Einhaltung der OECD-Leitsätze,"Verfügt das Unternehmen über Prozesse und Compliance-Mechanismen, um die Einhaltung der OECD-Leitsätze für multinationale Unternehmen (OECD MNE Guidelines) zu überwachen?",,Yes/No,,,,,,
12.1,Allgemein,OECD Leitsätze,Richtlinien zur Einhaltung der OECD-Leitsätze,"Bitte teilen Sie die Richtlinien mit uns, die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der OECD-Leitsätze überwacht.","Richtlinien die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der OECD-Leitsätze überwacht",Multiple Documents With Descriptions,,,,12,Yes,
12.2,Allgemein,OECD Leitsätze,Erklärung der Einhaltung der OECD-Leitsätze,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.","Erklärung, dass keine Verstöße gegen diese Grundsätze vorliegen",FreeText,,,,12,Yes,
13,Allgemein,UN SDGs,Ausrichtung nach den UN SDGs und aktives Verfolgen,"Wie steht das Unternehmen in Einklang mit den 17 UN-Zielen für nachhaltige Entwicklung? Welche dieser Ziele verfolgt das Unternehmen aktiv, entweder durch ihre Geschäftstätigkeit oder durch die Unternehmensführung?",,FreeText,,,,,,
14,Allgemein,Richtlinien des Unternehmens,Existenz von Richtlinien zu spezifischen Themen,Zu welchen der genannten Themen verfügt das Unternehmen über Richtlinien?,,Multi-Select Dropdown,Diversität & Inklusion|Anti-Diskriminierung|Arbeitsschutz|Interessenskonflikte|Anti-Korruption|Whistleblowing|Menschenrechte|Umgang mit Kunden|Gesundheit & Sicherheit,,,,,
15,Allgemein,Richtlinien des Unternehmens,Berücksichtigung von Nachhaltigkeitskriterien bei der Lieferantenauswahl,Wie berücksichtigt das Unternehmen Nachhaltigkeitskriterien bei der Auswahl der Lieferanten?,,FreeText,,,,,,
16,Allgemein,Rechtsstreitigkeiten,Rechtsstreitigkeiten mit ESG-Bezug,Ist das Unternehmen in laufende bzw. war das Unternehmen in den letzten 3 Jahren in rechtskräftig abgeschlossene Rechtsstreitigkeiten im Zusammenhang mit Nachhaltigkeit / ESG involviert? Im Vordergrund stehen vor Gericht bereits anhängige Verfahren.,,Yes/No,,,,,,
16.1,Allgemein,Rechtsstreitigkeiten,Einzelheiten zu Rechtsstreitigkeiten mit ESG-Bezug,Bitte Einzelheiten zu den Verfahren angeben.,,FreeText,,,,16,Yes,
17,Allgemein,Transaktionen mit Nachhaltigkeitskomponenten,"Emission grüner, sozialer und/oder nachhaltiger Schuldtitel","Hat das Unternehmen „grüne“, „soziale“ und/oder „nachhaltige“ Schuldtitel begeben?",,Yes/No/NA,,,,,,
17.1,Allgemein,Transaktionen mit Nachhaltigkeitskomponenten,"Details zu Emissionen grüner, sozialer und/oder nachhaltiger Schuldtitel","Bitte Details zur Emission der grünen, sozialen und/oder nachhaltigen Schuldtitel angeben.",,FreeText,,,,17,Yes,
18,Allgemein,Transaktionen mit Nachhaltigkeitskomponenten,Emission von Sustainibility Linked Debt,Hat das Unternehmen Sustainability Linked Debt („SLD“) emittiert?,,Yes/No/NA,,,,,,
18.1,Allgemein,Transaktionen mit Nachhaltigkeitskomponenten,Details zu Emissionen von Sustainibility Linked Debt,Bitte Details zur Emission der Sustainibility Linked Debt angeben.,,FreeText,,,,18,Yes,
20.1,Umwelt,Emissionen,Scope 1 Treibhausgasemissionen,Wie hoch waren die Scope 1 Treibhausgasemissionen des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in tCO2eq)? Der Scope 1 umfasst alle direkten Treibhausgasemissionen aus eigenen Anlagen des Unternehmens sowie von ihm kontrollierten Anlagen.,,Number,"Allowed Range: [0, INF]",tCO2eq,,,,
20.2,Umwelt,Emissionen,Scope 2 Treibhausgasemissionen (marktbasiert),"Wie hoch waren die marktbasiert berechneten Scope 2 Treibhausgasemissionen des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in tCO2eq)? Der Scope 2 umfasst indirekte Treibhausgasemissionen, die im Rahmen der Erzeugung des vom Unternehmen verbrauchten Stroms, Dampf, Wärme und Kälte entstehen.",,Number,"Allowed Range: [0, INF]",tCO2eq,,,,
20.3,Umwelt,Emissionen,Scope 2 Treibhausgasemissionen (standortbasiert),"Wie hoch waren die standortbasiert berechneten Scope 2 Treibhausgasemissionen des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in tCO2eq)? Der Scope 2 umfasst indirekte Treibhausgasemissionen, die im Rahmen der Erzeugung des vom Unternehmen verbrauchten Stroms, Dampf, Wärme und Kälte entstehen.",,Number,"Allowed Range: [0, INF]",tCO2eq,,,,
20.4,Umwelt,Emissionen,Scope 3 Treibhausgasemissionen,"Wie hoch waren die Scope 3 Treibhausgasemissionen des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in tCO2eq)? Der Scope 3 umfasst alle sonstigen indirekten Treibhausgasemissionen, bspw. Emissionen die in der Herstellung und im Transport zugekaufter Güter (einschließlich Immobilien), in der Distribution oder Nutzung eigener Produkte oder in der Abfallentsorgung entstehen. Es ist die vor- und nachgelagerte Wertschöpfungskette zu betrachten. ",,Number,"Allowed Range: [0, INF]",tCO2eq,,,,
21,Umwelt,Emissionen,CO2-Intensität des Unternehmens,Welche CO²-Intensität berechnet sich für das Unternehmen? Hierzu die Treibhausgasemissionen nach Scope 1 bis 3 addieren und durch den Gesamtumsatz des Unternehmens teilen. Daraus ergibt sich die CO²-Intensität in der Einheit tCO²eq pro Euro Umsatz.,,Number,"Allowed Range: [0, INF]",tCO2eq/€,,,,
22.1,Umwelt,Emissionen,Luftschadstoffe,"Wie hoch waren die Emissionen von Luftschadstoffen im letzten abgeschlossenen Geschäftsjahr? Analog zu ESRS E2-4 sind hier die Emissionen von Schadstoffen, die in Annex II der Verordnung (EG) Nr. 166/2006 des Europäischen Parlaments und des Rates (Europäisches Schadstofffreisetzungs- und -verbringungsregister, E-PRTR) aufgeführt sind, relevant. Treibhausgasemissionen gemäß ESRS E1 sind für diese Angaben nicht relevant.",,Number,"Allowed Range: [0, INF]",t,,,,
22.2,Umwelt,Emissionen,Wassergefährdende Stoffe,"Wie hoch waren die Emissionen von wassergefährdenden Stoffen im letzten abgeschlossenen Geschäftsjahr? Analog zu ESRS E2-4 sind hier die Emissionen von Schadstoffen, die in Annex II der Verordnung (EG) Nr. 166/2006 des Europäischen Parlaments und des Rates (Europäisches Schadstofffreisetzungs- und -verbringungsregister, E-PRTR) aufgeführt sind, relevant. Treibhausgasemissionen gemäß ESRS E1 sind für diese Angaben nicht relevant.",,Number,"Allowed Range: [0, INF]",t,,,,
22.3,Umwelt,Emissionen,Bodenverschmutzende Stoffe,"Wie hoch waren die Emissionen von bodenverschmutzenden Stoffen im letzten abgeschlossenen Geschäftsjahr? Analog zu ESRS E2-4 sind hier die Emissionen von Schadstoffen, die in Annex II der Verordnung (EG) Nr. 166/2006 des Europäischen Parlaments und des Rates (Europäisches Schadstofffreisetzungs- und -verbringungsregister, E-PRTR) aufgeführt sind, relevant. Treibhausgasemissionen gemäß ESRS E1 sind für diese Angaben nicht relevant.",,Number,"Allowed Range: [0, INF]",t,,,,
23,Umwelt,Verbrauchsangaben,Energieverbrauch,Wie hoch war der Energieverbrauch des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in MWh)? Die Methodik analog zu ESRS E1-5.,,Number,"Allowed Range: [0, INF]",Mwh,,,,
23.1,Umwelt,Verbrauchsangaben,Anteil erneuerbarer Energien am Gesamt-Energieverbrauch,Welcher Anteil der bezogenen Energie stammte aus erneuerbaren Energiequellen (in %)?,,Percentage,,,,,,
24,Umwelt,Verbrauchsangaben,Wasserverbrauch,Wie hoch war der Wasserverbrauch des Unternehmens im letzten abgeschlossenen Geschäftsjahr (in m³)?,,Number,"Allowed Range: [0, INF]",m³,,,,
25,Umwelt,Abfall,Abfallmenge,Welche Abfallmenge fiel im Unternehmen im letzten abgeschlossenen Geschäftsjahr an (in t)?,,Number,"Allowed Range: [0, INF]",t,,,,
25.1,Umwelt,Abfall,Anteil des nicht recycleten Abfalls an der Gesamt-Abfallmenge,Welcher Anteil der Abfälle des Unternehmens wurden im letzten abgeschlossenen Geschäftsjahr nicht recycelt (in %)?,,Percentage,,,,,,
26,Umwelt,Abfall,Menge an gefährlichen Abfällen,"Welche Menge an gefährlichen Abfällen fielen im Unternehmen im letzten abgeschlossenen Geschäftsjahr (in t) an? Gefährliche Abfälle umfassen Abfälle, die bspw. eine der folgenden Eigenschaften aufweisen: explosiv, brandfördernden, entzündbar, reizend oder toxisch.",,Number,"Allowed Range: [0, INF]",t,,,,
27,Umwelt,Risiken und Maßnahmen Klima,Transitorische Klima- und Umweltrisiken,"Welchen wesentlichen transitorischen Klima- und Umweltrisiken ist das Unternehmen ausgesetzt? Transitorische Risiken sind Übergangsrisiken, die sich aus einer unzureichenden Anpassung des Unternehmens an Maßnahmen zum Schutz, zur Wiederherstellung und/oder zur Verringerung negativer Auswirkungen auf die Natur ergeben. Diese Risiken können z. B. durch Änderungen in der Gesetzgebung und Politik, Präzedenzfälle, Technologien, die Stimmung der Investoren und Verbraucherpräferenzen, Haftungsrisiken oder Reputationsrisiken ausgelöst werden. Sie können auch aus Aktivitäten entstehen, die auf die Wiederherstellung der Natur abzielen, aber beispielsweise nicht mehr mit der geänderten Politik übereinstimmen.",,FreeText,,,,,,
28.1,Umwelt,Risiken und Maßnahmen Klima,Physische Klima- und Umweltrisiken,Welchen physischen Klima- und Umweltrisiken ist das Unternehmen ausgesetzt?,,Multi-Select Dropdown,Dürren & Hitzewellen|Hochwasser|Wassermangel|Radioaktive Strahlung|Erd-/Hangabbruch|Starkregen/Hagel|Verlust Biodiversität|Waldbrände|Stürme|Erdbeben|Meeresspiegelanstieg|Sonstige,,,,,
28.2,Umwelt,Risiken und Maßnahmen Klima,Von physischen Klima- und Umweltrisiken betroffene Standorte,"Bitte geben Sie zu jedem relevanten Klima-/Umweltrisiko jene Standorte des Unternehmens an, welche dem jeweiligen Risiko ausgesetzt sind.",,FreeText,,,,,,
29,Umwelt,Risiken und Maßnahmen Klima,"Messung, Steuerung und Überwachung der Klima- und Umweltrisiken","Misst, steuert und überwacht das Unternehmen diese Klima- und Umweltrisiken?",,Yes/No/NA,,,,,,
29.1,Umwelt,Risiken und Maßnahmen Klima,"Beschreibung der Messung, Steuerung und Überwachung der Klima- und Umweltrisiken","Bitte beschreiben Sie das Vorgehen, mit dem Klima- und Umweltrisiken gemessen, gesteuert und überwacht werden.",,FreeText,,,,29,Yes,
29.2,Umwelt,Risiken und Maßnahmen Klima,Nutzung von Szenarioanalysen,"Werden bei der Messung, Steuerung und Überwachung der Klima- und Umweltrisiken Szenarioanalysen genutzt?",,Yes/No/NA,,,,29,Yes,
29.3,Umwelt,Risiken und Maßnahmen Klima,Beschreibung der Nutzung von Szenarioanalysen,"Bitte beschreiben Sie auf welcher Art und Weise Szenarioanalysen genutzt werden, um Klima- und Umweltirisken zu messen, zu steuern und zu überwachen.",,FreeText,,,,29.2,Yes,
30,Umwelt,Risiken und Maßnahmen Klima,Berücksichtigung von Klima- und Umweltrisiken,Werden Klima- und Umweltrisiken in der Geschäftsstrategie und/oder im Geschäftsmodell des Unternehmens thematisiert?,,Yes/No,,,,,,
30.1,Umwelt,Risiken und Maßnahmen Klima,Zeithorizont der Berücksichtigung von Klima- und Umweltrisiken im Geschäftsmodell,"Stellen Sie die genutzten Zeithorizonte dar, welche bei der Berücksichtigung von Klima- und Umweltrisiken in der Geschäftsstrategie und/oder im Geschäftsmodell des Unternehmens betrachtet werden.",,FreeText,,,,30,Yes,
31,Umwelt,Risiken und Maßnahmen Klima,Transitionsplan,Verfügt das Unternehmen über einen Transitionsplan?,,Yes/No,,,Simple,,,
32,Umwelt,Risiken und Maßnahmen Klima,Transitorische Risiken,"Welche Maßnahmen hat das Unternehmen zur Reduzierung transitorischer Risiken getroffen bzw. geplant? Bitte zudem darstellen, ob das Unternehmen über interne Richtlinien verfügt, die einen ökologischen Mindeststandard im Produktionsprozess sicherstellen.",,FreeText,,,,,,
